,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.94,0.71,0.4,0.4,0.31,0.22,0.24,0.26,0.23,0.19,0.23,0.15,0.23,0.17,0.19,0.12
e_1,0.38,0.94,0.38,0.45,0.4,0.31,0.25,0.24,0.46,0.26,0.27,0.24,0.21,0.19,0.21,0.11
d_1,0.52,0.39,0.95,0.37,0.35,0.28,0.33,0.24,0.18,0.4,0.31,0.24,0.27,0.19,0.18,0.18
c_1,0.49,0.44,0.39,0.94,0.58,0.27,0.31,0.23,0.22,0.17,0.19,0.26,0.24,0.22,0.18,0.16
b_1,0.5,0.45,0.4,0.39,0.94,0.52,0.33,0.24,0.28,0.26,0.15,0.2,0.3,0.14,0.24,0.19
a_1,0.64,0.45,0.56,0.44,0.35,0.93,0.36,0.31,0.31,0.3,0.31,0.27,0.36,0.17,0.22,0.19
h_1,0.98,0.68,0.67,0.58,0.48,0.34,0.74,0.48,0.42,0.43,0.38,0.3,0.29,0.28,0.44,0.27
g_1,0.68,0.69,0.95,0.71,0.55,0.43,0.44,0.74,0.44,0.41,0.41,0.51,0.36,0.34,0.26,0.27
d_0,0.83,0.56,0.56,1.16,0.55,0.46,0.48,0.33,0.65,0.35,0.45,0.34,0.38,0.3,0.33,0.36
c_0,0.97,0.69,0.74,0.57,0.45,0.44,0.5,0.46,0.46,0.65,0.73,0.32,0.52,0.4,0.41,0.38
b_0,0.96,0.64,0.73,0.8,0.41,0.41,0.55,0.48,0.47,0.38,0.66,0.36,0.43,0.53,0.38,0.33
f_0,0.63,0.61,0.92,0.76,0.66,0.54,0.56,0.36,0.54,0.61,0.5,0.65,0.45,0.32,0.4,0.56
h_0,1.14,0.82,0.8,0.76,0.64,0.42,0.41,0.56,0.47,0.42,0.47,0.39,0.37,0.36,0.5,0.28
a_0,1.15,0.72,0.87,0.68,0.71,0.35,0.62,0.46,0.52,0.43,0.42,0.48,0.51,0.63,0.42,0.39
g_0,0.83,0.75,1.2,0.85,0.67,0.54,0.41,0.4,0.49,0.49,0.54,0.62,0.44,0.35,0.34,0.33
e_0,1.26,0.61,0.84,0.9,0.66,0.55,0.6,0.53,0.55,0.48,0.56,0.35,0.62,0.47,0.43,0.61
