,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.07,3.81,2.83,3.3,3.16,2.52,1.13,0.94,1.0,1.52,1.09,2.09,0.79,0.62,0.81,0.82
e_1,2.15,1.07,3.72,3.37,3.22,3.9,1.23,1.06,1.15,1.39,1.05,1.19,1.02,0.77,2.04,0.83
d_1,4.47,3.85,1.07,3.43,3.06,2.99,1.57,1.13,2.24,0.86,1.0,1.07,0.97,0.78,1.05,0.59
c_1,3.85,3.73,4.47,1.07,4.5,2.87,1.26,2.0,0.67,1.18,0.95,0.97,1.08,0.8,0.98,0.61
b_1,3.74,4.19,4.05,2.27,1.07,4.46,1.87,1.27,1.24,1.61,3.07,0.97,0.91,1.04,0.81,1.0
a_1,6.01,4.81,5.38,5.82,2.87,1.07,2.09,1.64,1.74,1.66,1.51,1.29,2.24,1.04,1.55,1.07
h_1,7.7,6.93,6.63,7.91,7.39,5.61,1.38,2.3,2.33,3.61,2.16,2.0,1.76,2.98,1.62,1.47
c_0,9.13,8.98,4.71,15.82,8.55,7.48,2.99,1.63,3.11,3.1,3.04,2.18,2.37,1.8,1.9,1.76
d_0,9.86,4.85,17.39,10.43,7.79,7.55,3.14,2.73,1.64,3.4,2.71,2.87,1.94,1.77,2.56,2.11
g_1,7.94,7.58,10.32,9.28,7.91,7.59,2.46,2.43,2.7,1.39,2.48,2.68,2.29,1.74,2.04,2.67
b_0,7.72,8.27,7.63,11.48,17.88,7.86,2.95,1.67,2.89,3.5,1.59,2.69,3.1,1.9,2.13,1.83
f_0,15.93,8.81,9.38,8.57,11.68,9.12,3.52,3.51,2.93,2.5,2.77,1.63,2.69,2.35,2.89,1.52
a_0,14.0,11.25,10.8,11.82,14.48,21.62,3.93,2.78,4.71,3.66,2.05,3.48,1.69,2.93,3.33,3.0
h_0,16.29,11.24,10.97,15.58,11.54,9.38,6.17,3.69,4.35,4.24,3.74,3.43,2.84,4.27,2.67,3.3
e_0,17.8,24.9,11.33,11.98,11.89,9.87,4.94,3.9,3.74,4.71,4.39,1.98,3.64,2.69,1.63,2.74
g_0,16.16,14.5,12.92,20.61,12.12,11.78,4.77,3.96,4.6,7.47,4.2,3.98,3.4,2.62,3.23,4.73
