,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,37.94,0.06,0.05,0.06,0.08,0.07,0.27,0.26,0.73,0.35,0.3,0.43,0.56,0.21,,0.65
d_1,0.06,39.12,0.06,0.06,0.08,0.06,0.37,0.31,,0.65,0.46,0.42,0.42,0.32,0.38,0.53
f_1,0.11,0.06,39.31,0.08,0.07,0.08,0.27,0.23,0.39,0.41,0.31,,0.58,0.52,0.26,0.53
c_1,0.08,0.05,0.09,42.91,0.13,0.06,0.29,0.24,0.37,,0.28,0.22,0.7,0.55,0.3,0.53
b_1,0.06,0.07,0.06,0.07,46.31,0.14,0.33,0.32,0.43,0.44,,0.34,0.59,,0.35,0.44
a_1,0.04,0.08,0.03,0.07,0.07,70.24,0.24,0.29,0.36,0.49,0.34,0.54,0.68,,0.37,0.75
h_1,0.26,0.19,0.4,0.23,0.23,0.43,28.78,1.29,1.53,1.63,1.25,1.15,,1.39,1.29,2.71
g_1,0.22,0.5,0.2,0.33,0.2,0.16,1.09,30.33,1.27,1.33,1.06,2.43,2.15,1.38,1.36,
d_0,0.37,,0.41,0.6,0.36,0.3,1.34,1.72,18.18,1.58,1.69,1.66,3.53,1.78,1.88,3.16
c_0,0.44,0.38,0.37,,0.32,0.28,1.31,1.38,1.46,16.46,4.39,1.88,3.65,1.79,2.54,1.97
b_0,0.33,0.31,0.36,0.37,,0.38,1.3,1.81,1.94,1.95,19.77,1.57,2.56,3.96,2.5,2.37
f_0,0.33,0.39,,0.25,0.34,0.37,1.73,1.27,2.02,1.54,1.88,21.83,2.94,2.32,4.67,3.47
h_0,0.44,0.74,0.88,0.55,0.52,0.36,,2.63,2.61,2.22,3.14,3.1,,2.21,3.02,6.99
a_0,0.32,0.19,0.28,0.48,0.45,,1.99,1.48,1.5,2.0,1.94,2.34,4.06,27.09,1.99,3.04
e_0,,0.49,0.33,0.24,0.26,,1.85,1.09,2.7,2.48,2.54,1.67,3.41,2.37,32.06,2.94
g_0,0.48,0.71,0.43,0.62,0.36,0.54,2.27,,2.36,4.38,3.39,5.04,4.43,2.64,,
