,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.65,0.71,0.97,1.08,0.93,0.83,0.44,0.46,0.4,0.34,0.36,0.4,0.32,0.29,0.34,0.32
f_1,1.04,0.65,0.88,0.95,0.88,0.8,0.35,0.46,0.38,0.35,0.36,0.37,0.29,0.22,0.3,0.25
d_1,1.04,1.06,0.64,0.96,0.91,0.82,0.41,0.32,0.41,0.4,0.39,0.34,0.34,0.28,0.31,0.2
c_1,0.84,1.02,1.16,0.63,1.14,0.92,0.45,0.44,0.26,0.37,0.33,0.35,0.34,0.28,0.34,0.28
b_1,1.06,1.16,1.08,0.7,0.61,1.16,0.5,0.47,0.37,0.44,0.45,0.42,0.33,0.32,0.34,0.32
a_1,1.3,1.36,1.24,1.19,0.74,0.56,0.67,0.58,0.48,0.51,0.53,0.4,0.5,0.4,0.43,0.39
h_1,1.54,1.76,1.56,1.54,1.49,1.26,0.53,0.71,0.6,0.58,0.59,0.56,0.52,0.54,0.49,0.47
g_1,1.63,1.77,1.72,1.59,1.51,1.34,0.62,0.51,0.65,0.64,0.64,0.62,0.58,0.5,0.51,0.48
d_0,1.23,1.65,2.04,1.98,1.88,1.63,0.8,0.79,0.56,0.59,0.66,0.61,0.63,0.54,0.63,0.56
c_0,1.81,1.85,1.19,2.31,1.87,1.5,0.81,0.73,0.85,0.53,0.78,0.58,0.69,0.54,0.57,0.44
b_0,1.79,1.81,1.44,2.14,2.13,1.46,0.82,0.79,0.74,0.43,0.53,0.62,0.66,0.53,0.6,0.51
f_0,1.88,2.49,1.82,1.94,1.72,1.68,0.8,0.64,0.8,0.7,0.65,0.51,0.67,0.64,0.69,0.42
a_0,1.89,2.19,1.88,1.96,2.14,1.8,0.85,0.81,0.73,0.6,0.5,0.62,0.53,0.64,0.71,0.57
h_0,2.01,2.25,1.94,2.09,1.79,1.58,1.0,0.82,0.73,0.68,0.73,0.62,0.63,0.66,0.66,0.57
e_0,2.48,2.64,2.05,2.01,1.94,1.7,0.9,0.85,0.83,0.72,0.75,0.43,0.66,0.54,0.52,0.52
g_0,2.44,2.45,2.25,2.35,1.98,1.77,0.84,1.09,0.82,0.76,0.86,0.78,0.69,0.58,0.73,0.66
