,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,37.02,0.07,0.06,0.08,0.06,0.08,0.32,0.69,0.23,0.31,0.28,0.47,0.54,,0.25,0.44
f_1,0.16,39.13,0.07,0.04,0.05,0.07,0.28,0.28,0.27,0.52,,0.31,0.53,0.31,0.35,0.46
d_1,0.05,0.08,41.1,0.06,0.07,0.06,0.31,,0.32,0.75,0.36,0.36,0.52,0.39,0.25,0.5
c_1,0.04,0.07,0.07,41.32,0.14,0.06,0.31,0.31,0.19,,0.49,0.35,0.76,0.37,0.37,0.58
b_1,0.06,0.06,0.07,0.07,48.53,0.12,0.32,0.39,0.26,0.35,0.4,,0.48,0.45,0.34,0.55
a_1,0.07,0.07,0.08,0.07,0.05,71.42,0.25,0.39,0.25,0.24,0.26,0.44,0.77,0.38,,0.46
h_1,0.2,0.32,0.24,0.32,0.25,0.23,27.5,1.35,1.5,1.24,1.23,1.27,,1.84,1.62,3.33
d_0,0.39,0.28,,0.69,0.35,0.37,1.43,16.47,1.6,1.35,2.04,2.26,2.76,1.78,2.54,2.13
g_1,0.26,0.2,0.36,0.29,0.23,0.24,1.0,1.02,32.71,1.53,2.84,1.06,1.9,1.35,1.55,
c_0,0.44,0.31,0.35,,0.28,0.25,1.8,1.77,1.43,17.67,2.15,2.9,3.47,1.74,1.55,3.59
f_0,0.26,,0.42,0.31,0.4,0.53,1.18,2.05,1.35,1.37,20.59,2.03,2.86,4.14,2.37,2.8
b_0,0.22,0.55,0.29,0.29,,0.23,1.39,2.35,1.39,1.9,1.62,22.35,2.87,1.91,3.85,3.15
h_0,0.5,0.75,0.58,0.47,0.46,0.53,,4.1,2.88,3.36,2.79,2.89,,1.64,2.59,5.39
e_0,,0.22,0.21,0.36,0.33,,1.71,2.18,1.55,2.17,1.56,1.8,4.73,31.29,2.63,4.05
a_0,0.31,0.38,0.27,0.36,0.47,,1.89,2.01,1.76,2.08,1.34,1.94,3.09,,26.84,3.69
g_0,0.42,0.43,0.94,0.45,0.6,0.5,2.03,2.68,,3.6,4.29,2.4,4.91,2.33,2.92,
