,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.96,0.61,0.56,0.74,0.57,0.38,0.49,0.38,0.37,0.57,0.35,0.33,0.32,0.34,0.25,0.29
f_1,0.87,0.96,0.55,0.66,0.49,0.41,0.4,0.37,0.35,0.41,0.35,0.27,0.3,0.31,0.22,0.27
d_1,0.64,0.7,0.96,0.51,0.59,0.41,0.46,0.34,0.57,0.34,0.41,0.36,0.3,0.33,0.25,0.31
c_1,0.55,0.56,0.66,0.96,0.94,0.44,0.45,0.34,0.3,0.31,0.26,0.37,0.21,0.35,0.28,0.32
b_1,0.65,0.75,0.61,0.53,0.95,0.71,0.47,0.36,0.41,0.35,0.39,0.36,0.26,0.33,0.28,0.3
a_1,0.75,0.76,0.8,0.77,0.53,0.94,0.52,0.42,0.41,0.44,0.45,0.39,0.29,0.43,0.28,0.38
h_1,0.84,1.1,0.92,0.91,0.79,0.57,0.82,0.57,0.53,0.5,0.52,0.48,0.4,0.43,0.33,0.54
g_1,0.82,0.92,1.26,1.0,0.92,0.62,0.7,0.8,0.6,0.52,0.58,0.73,0.43,0.47,0.48,0.48
c_0,1.07,1.1,0.95,0.93,0.81,0.61,0.72,0.62,0.76,0.61,0.86,0.61,0.6,0.57,0.45,0.5
d_0,0.86,0.97,0.77,1.51,1.08,0.66,0.7,0.58,0.44,0.73,0.51,0.58,0.39,0.48,0.41,0.5
b_0,1.04,1.09,1.02,1.16,0.77,0.57,0.68,0.56,0.63,0.62,0.77,0.6,0.8,0.64,0.47,0.51
f_0,0.95,1.1,1.17,1.0,1.0,0.72,0.75,0.55,0.66,0.61,0.58,0.73,0.42,0.6,0.73,0.47
a_0,1.02,1.09,1.08,1.41,1.04,0.58,0.79,0.67,0.62,0.75,0.56,0.67,0.7,0.65,0.48,0.61
h_0,1.11,1.32,1.19,1.09,1.05,0.62,0.7,0.76,0.65,0.68,0.61,0.55,0.48,0.53,0.46,0.63
e_0,1.01,1.29,1.28,1.11,1.09,0.85,0.92,0.64,0.75,0.66,0.73,0.6,0.53,0.68,0.68,0.55
g_0,1.04,1.15,1.51,1.06,1.11,0.69,0.72,0.57,0.75,0.6,0.64,0.85,0.45,0.6,0.58,0.53
