,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.65,0.69,0.93,1.18,0.93,0.82,0.43,0.47,0.41,0.32,0.36,0.37,0.28,0.31,0.37,0.28
f_1,0.97,0.64,0.91,0.99,0.89,0.82,0.34,0.43,0.38,0.34,0.34,0.37,0.22,0.33,0.28,0.28
d_1,1.12,1.11,0.64,0.9,0.88,0.84,0.42,0.33,0.41,0.39,0.33,0.32,0.32,0.32,0.31,0.2
c_1,0.79,1.03,1.09,0.64,1.15,0.85,0.45,0.41,0.24,0.38,0.32,0.33,0.28,0.31,0.31,0.28
b_1,1.09,1.14,1.05,0.67,0.62,1.12,0.44,0.48,0.39,0.45,0.48,0.38,0.34,0.33,0.38,0.31
a_1,1.26,1.34,1.28,1.11,0.73,0.57,0.55,0.55,0.48,0.46,0.63,0.5,0.38,0.53,0.39,0.32
h_1,1.57,1.79,1.6,1.57,1.61,1.29,0.53,0.91,0.59,0.58,0.58,0.58,0.53,0.53,0.48,0.44
g_1,1.58,1.75,1.7,1.8,1.71,1.32,0.56,0.52,0.59,0.57,0.56,0.65,0.42,0.55,0.57,0.5
d_0,1.23,1.47,2.17,2.05,1.75,1.5,0.81,0.88,0.56,0.56,0.68,0.7,0.54,0.63,0.62,0.51
c_0,2.08,1.72,1.26,2.19,1.7,1.62,0.78,0.78,0.92,0.55,0.73,0.67,0.56,0.68,0.63,0.47
b_0,1.86,1.79,1.64,2.44,1.92,1.4,0.78,0.73,0.66,0.48,0.53,0.66,0.53,0.74,0.59,0.5
f_0,1.74,2.12,1.97,1.99,1.67,1.36,0.8,0.6,0.7,0.61,0.6,0.54,0.53,0.69,0.75,0.41
h_0,1.87,2.09,1.82,2.17,1.83,1.62,0.97,0.88,0.75,0.67,0.68,0.65,0.65,0.71,0.67,0.53
a_0,2.04,1.95,1.95,2.16,2.14,2.13,0.95,0.87,0.74,0.65,0.5,0.71,0.54,0.52,0.68,0.54
e_0,2.17,3.0,2.02,2.35,2.15,1.74,0.89,0.75,0.75,0.7,0.75,0.47,0.65,0.75,0.51,0.49
g_0,2.13,2.08,2.42,2.27,2.29,1.99,0.86,0.93,0.81,0.78,0.77,0.82,0.58,0.78,0.77,0.76
