,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,1.27,1.14,0.95,0.93,0.94,1.14,0.84,0.8,1.05,1.14,1.01,0.98,,1.09
f_1,1.21,1.0,0.78,1.13,1.22,1.13,0.8,1.09,1.0,0.92,1.15,,0.78,1.32,0.79,1.06
c_1,0.79,1.27,1.0,1.19,1.33,0.85,0.96,0.77,1.14,,0.85,1.08,1.03,1.1,0.92,0.93
d_1,0.88,0.89,0.84,1.0,1.02,1.0,0.98,,0.97,1.54,0.8,1.28,1.01,1.0,0.89,0.85
b_1,1.05,0.82,0.75,0.98,1.0,1.51,1.02,0.98,1.11,1.07,,0.91,1.09,0.91,1.28,1.1
a_1,1.08,0.88,1.18,1.0,0.66,1.0,0.96,1.19,1.0,0.81,1.38,1.0,1.29,,0.97,1.17
h_1,1.06,1.26,1.04,1.02,0.98,1.05,1.0,0.71,1.18,0.87,0.93,0.68,,1.15,0.89,1.48
d_0,0.88,0.92,1.29,,1.02,0.84,1.41,1.0,0.83,0.85,1.03,1.0,1.23,0.66,1.0,0.8
g_1,1.19,1.0,0.88,1.03,0.9,1.0,0.85,1.2,1.0,1.02,1.12,1.04,0.76,1.04,1.15,
c_0,1.24,1.09,,0.65,0.94,1.24,1.15,1.17,0.98,1.0,1.19,0.93,0.91,0.98,0.88,1.04
b_0,0.95,0.87,1.18,1.25,,0.72,1.07,0.97,0.89,0.84,1.0,1.33,0.86,1.3,1.11,0.86
f_0,0.87,,0.92,0.78,1.1,1.0,1.47,1.0,0.97,1.08,0.75,1.0,1.04,1.38,1.37,0.83
h_0,0.99,1.28,0.97,0.99,0.92,0.77,,0.81,1.32,1.1,1.17,0.96,,0.82,0.85,0.96
a_0,1.02,0.76,0.91,1.0,1.1,,0.87,1.51,0.96,1.02,0.77,0.72,1.22,1.0,,1.2
e_0,,1.27,1.09,1.12,0.78,1.04,1.12,1.0,0.87,1.13,0.9,0.73,1.17,,1.0,1.05
g_0,0.92,0.94,1.07,1.18,0.91,0.86,0.68,1.25,,0.96,1.16,1.21,1.04,0.83,0.95,
