,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11.34,0.68,0.58,0.88,0.7,0.63,0.77,0.95,0.8,2.09,0.92,1.07,1.08,1.02,0.54,1.14
f_1,1.6,12.19,0.59,0.67,0.56,0.55,0.83,0.78,0.77,0.83,0.9,0.48,0.84,0.76,0.65,0.73
d_1,0.54,0.72,16.63,0.44,0.5,0.77,1.09,1.0,2.59,0.45,1.27,1.07,1.05,1.33,1.05,1.31
c_1,0.48,0.61,0.61,15.91,1.92,0.57,0.78,0.84,0.34,0.94,0.63,0.86,0.85,0.71,1.09,0.77
b_1,0.6,0.68,0.56,0.64,15.44,1.55,0.82,0.85,0.81,0.92,0.57,0.89,0.91,0.71,1.09,0.77
a_1,0.7,0.58,0.74,0.68,0.55,20.92,1.31,0.91,1.1,1.01,1.16,1.04,1.17,0.69,1.2,0.9
h_1,0.75,1.12,1.0,0.67,0.51,0.68,3.95,1.35,1.09,0.84,1.0,1.29,0.7,1.09,0.95,1.67
g_1,0.6,0.54,1.48,0.71,0.62,0.79,0.95,4.23,1.21,0.8,1.18,2.6,1.04,0.94,1.28,0.68
c_0,0.7,0.93,0.99,0.53,0.53,0.67,1.27,1.09,2.6,0.92,2.9,1.21,1.19,1.72,1.31,1.48
d_0,0.69,0.88,0.42,2.35,0.85,0.66,1.09,0.91,0.57,1.99,0.88,1.02,1.1,0.8,0.97,0.95
b_0,0.73,0.75,1.12,0.81,0.48,0.44,1.3,1.12,1.17,0.91,3.08,1.21,1.49,3.38,1.03,1.38
f_0,0.51,0.67,0.91,0.89,0.69,0.71,1.25,1.25,1.26,1.18,1.33,2.94,1.33,1.27,3.05,1.21
h_0,0.74,1.41,0.86,0.69,0.58,0.5,0.8,1.7,0.97,1.05,1.18,1.0,0.94,1.52,1.14,1.55
a_0,0.75,0.84,0.93,0.82,0.55,0.52,1.34,1.34,1.47,1.21,1.21,1.22,1.23,3.29,1.3,1.47
e_0,0.39,1.09,0.97,0.97,0.75,0.77,1.43,1.16,1.01,1.0,1.15,0.85,1.24,0.83,3.45,1.13
g_0,0.5,0.64,1.94,0.78,0.61,0.75,1.01,1.01,1.2,0.81,1.4,1.98,1.1,1.29,1.21,0.93
