,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.06,2.13,2.02,2.03,2.08,1.7,0.6,0.8,0.6,0.54,0.54,0.64,0.46,0.34,0.5,0.45
e_1,1.47,1.06,2.18,2.07,2.09,1.85,0.91,0.79,0.81,0.66,0.65,0.73,0.61,0.49,0.47,0.7
d_1,2.22,2.36,1.06,2.16,1.86,1.77,0.77,0.5,0.87,0.74,0.67,0.57,0.55,0.49,0.34,0.57
c_1,2.17,2.07,2.49,1.06,2.48,1.95,0.81,0.73,0.42,0.86,0.55,0.55,0.55,0.49,0.47,0.47
b_1,2.55,2.76,2.79,1.57,1.07,2.49,1.08,1.11,0.81,0.85,0.87,0.79,0.75,0.65,0.58,0.74
a_1,3.8,3.29,2.81,3.45,1.75,1.07,1.4,1.27,0.97,1.0,0.97,0.79,1.84,0.96,0.65,0.84
h_1,6.67,4.68,5.62,5.98,5.2,4.12,1.32,2.36,1.69,1.67,1.57,1.45,1.38,1.71,1.22,1.39
g_1,6.68,6.62,7.13,7.37,5.72,4.97,1.88,1.33,1.68,1.84,1.83,1.83,1.43,1.1,1.71,1.43
d_0,6.71,4.25,10.99,8.06,6.38,5.81,2.3,3.37,1.51,1.88,1.86,1.71,1.8,1.67,1.34,1.52
c_0,8.44,6.46,3.98,9.62,6.8,5.79,2.3,2.69,2.74,1.48,2.51,2.01,2.01,1.68,1.55,1.65
b_0,7.79,6.42,5.87,9.93,12.73,6.19,2.96,2.73,2.44,1.26,1.53,1.88,2.5,1.89,1.8,1.78
f_0,11.47,7.27,7.63,8.6,7.47,7.49,3.31,2.35,2.59,2.11,2.67,1.55,2.31,2.02,1.28,3.17
a_0,10.2,8.11,8.86,9.06,11.21,9.88,3.83,3.7,2.69,2.23,1.64,2.5,1.55,2.05,1.83,1.76
h_0,11.22,9.22,8.69,9.37,8.8,6.09,4.1,3.87,2.76,2.69,2.22,2.4,2.47,2.64,1.95,2.31
g_0,11.73,10.66,11.45,11.37,10.52,9.05,3.35,4.35,3.44,3.2,2.99,3.35,3.14,2.13,2.79,2.41
e_0,14.85,13.11,9.88,12.29,9.52,8.83,3.71,4.24,3.2,2.83,3.09,1.47,3.85,2.6,2.15,1.58
