,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,5.61,7.35,7.36,10.21,6.6,3.33,2.92,2.73,3.23,2.28,2.78,2.26,2.83,,2.43
f_1,13.39,1.07,7.85,11.0,6.5,6.44,2.38,2.42,2.47,3.36,3.14,,1.72,2.37,2.39,2.83
d_1,12.77,11.98,1.07,7.51,11.23,9.17,3.86,,2.99,2.05,2.76,3.48,2.04,3.35,2.09,1.38
c_1,10.95,10.27,14.34,1.07,11.22,9.23,3.75,1.82,,3.89,3.37,2.5,2.74,2.22,3.24,2.21
b_1,10.55,17.68,9.38,6.82,1.07,15.8,4.1,3.44,3.87,5.4,,3.75,2.4,,2.36,1.8
a_1,18.34,18.39,13.42,14.57,7.27,1.07,6.96,4.69,3.12,5.18,3.6,,3.1,,4.26,
h_1,15.05,13.52,12.22,16.24,12.39,8.34,1.41,4.92,3.95,5.61,3.62,4.35,,2.56,4.43,3.1
d_0,9.81,14.48,,16.39,10.49,10.93,5.71,1.73,5.63,4.54,3.47,4.8,2.62,3.7,3.77,3.18
c_0,14.28,13.35,10.34,,13.9,20.95,6.15,4.16,1.71,5.66,4.79,3.46,3.09,3.31,3.0,3.06
g_1,19.38,22.04,18.81,17.0,12.44,18.75,4.71,5.59,4.6,1.41,5.14,5.15,3.12,3.67,3.59,
b_0,17.39,13.73,16.66,15.96,,14.22,5.56,5.41,3.17,5.79,1.72,3.79,3.7,,3.41,2.62
f_0,15.98,,14.74,15.34,17.31,,6.42,4.08,5.83,4.57,4.92,1.72,3.37,3.52,6.02,2.21
h_0,14.14,18.7,18.01,14.02,20.81,15.45,,5.27,4.62,6.09,4.85,5.54,,3.72,3.4,4.28
a_0,20.81,21.19,21.46,23.41,,,10.31,6.72,9.4,8.49,,7.82,4.98,1.75,,5.02
e_0,,25.59,31.18,25.65,21.76,13.43,8.59,9.2,8.12,7.51,7.91,3.42,5.14,,1.73,5.04
g_0,17.36,14.7,23.82,21.18,22.92,,5.53,7.07,5.78,,7.95,5.75,3.17,4.22,5.58,
