,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,5.86,1.4,1.0,1.0,1.32,1.59,4.31,4.59,3.02,11.96,7.43,7.39,10.37,7.05,9.9,7.7
f_1,1.19,5.99,2.33,1.3,1.07,0.92,4.71,4.48,5.7,5.56,5.35,2.37,9.11,6.03,9.92,3.54
e_1,1.17,1.36,6.01,1.43,1.41,1.25,4.91,3.79,10.77,6.4,6.43,6.11,8.48,6.6,8.45,2.7
c_1,1.24,1.15,1.14,7.16,2.38,1.07,5.2,5.05,6.05,1.68,4.2,7.01,9.24,5.78,7.65,6.51
b_1,1.41,1.23,1.27,1.36,7.67,2.39,3.86,4.19,5.42,4.96,2.44,7.3,8.32,5.74,9.82,6.73
a_1,1.43,1.25,1.19,1.34,1.2,10.83,5.22,5.52,5.74,6.06,7.17,6.89,8.43,3.1,9.95,7.48
h_1,1.61,2.26,1.28,1.68,1.32,1.25,15.93,8.46,7.35,6.7,6.74,6.55,6.84,8.78,13.45,8.14
g_1,2.54,1.44,1.39,1.74,1.41,1.21,5.38,18.63,6.06,7.2,6.98,10.15,11.12,6.36,3.84,8.53
d_0,0.92,1.55,1.58,3.14,1.49,1.4,6.38,5.62,15.04,5.94,8.13,6.57,11.77,6.46,10.02,10.84
c_0,1.81,1.9,1.4,0.89,1.4,1.63,7.31,5.49,7.77,14.39,14.82,8.01,12.8,10.21,10.53,10.96
b_0,1.85,1.98,1.5,1.67,0.72,1.39,6.6,6.05,6.77,7.56,16.82,6.35,13.86,14.9,13.75,7.3
f_0,1.9,1.06,1.41,1.47,1.55,1.66,5.77,6.1,7.91,8.28,8.22,18.94,11.82,10.42,12.78,21.38
h_0,1.75,2.67,1.69,1.44,1.37,1.18,3.25,7.28,6.29,7.66,8.3,6.77,6.29,8.15,15.42,6.56
a_0,1.54,1.94,1.71,1.85,1.38,0.55,6.43,5.2,8.79,9.05,8.55,7.7,13.67,22.71,12.03,7.95
g_0,2.62,1.25,1.57,1.83,1.45,1.31,4.9,3.65,5.81,8.05,8.05,12.65,12.05,8.47,8.28,8.45
e_0,2.07,1.89,0.79,1.44,1.63,1.52,5.93,6.37,6.34,7.17,9.13,7.39,14.43,7.61,10.46,26.26
