,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.22,0.69,0.75,0.45,0.51,0.38,1.05,2.14,1.01,1.27,0.75,1.03,1.45,1.02,0.48,1.26
f_1,1.06,2.22,0.56,0.54,0.5,0.33,0.86,1.11,0.99,0.85,0.68,0.44,1.2,1.04,0.7,1.09
c_1,0.55,0.58,2.39,0.57,0.98,0.43,1.12,1.15,0.37,0.61,0.67,0.79,1.21,0.71,1.07,1.22
d_1,0.65,0.64,0.37,2.48,0.47,0.45,1.1,0.55,2.24,1.46,1.02,1.19,1.54,0.99,1.05,1.47
b_1,0.5,0.64,0.61,0.58,2.6,0.92,0.92,1.26,1.05,0.52,0.62,0.98,1.27,0.77,0.88,1.06
a_1,0.52,0.69,0.62,0.56,0.47,3.11,1.1,1.22,1.43,1.18,0.8,1.06,1.91,0.48,1.1,1.2
h_1,0.69,1.06,0.74,0.64,0.57,0.49,3.1,1.1,1.5,1.37,1.33,1.42,0.91,0.99,1.23,1.92
d_0,0.78,0.65,1.43,0.33,0.63,0.46,1.27,2.64,1.01,1.32,0.96,1.29,1.57,1.14,1.15,1.66
c_0,0.87,0.81,0.4,0.77,0.51,0.49,1.27,1.45,2.86,2.53,1.19,1.41,1.88,1.43,1.18,1.49
b_0,0.9,0.89,0.72,0.61,0.28,0.35,1.4,1.59,1.74,3.14,1.17,1.27,1.79,2.78,1.13,1.75
g_1,0.71,0.71,0.66,0.99,0.58,0.46,1.52,1.02,1.5,1.48,3.79,2.04,1.65,1.32,1.21,1.06
f_0,0.53,0.55,0.83,0.83,0.55,0.57,1.44,1.55,1.51,1.49,1.47,3.39,2.2,1.19,2.9,1.9
h_0,0.68,1.0,0.74,0.75,0.54,0.51,0.84,1.28,1.46,1.36,1.76,1.24,1.33,1.09,1.23,2.04
a_0,0.86,0.8,0.78,0.73,0.49,0.27,1.46,1.66,1.37,1.35,1.52,1.33,1.7,3.14,1.29,1.7
e_0,0.4,0.9,0.68,1.02,0.67,0.5,1.2,1.25,1.45,1.28,1.48,1.37,2.14,1.21,3.28,1.68
g_0,0.55,0.63,0.77,1.16,0.65,0.45,1.37,1.14,1.54,1.19,0.66,2.27,1.81,1.05,1.39,1.31
