,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.76,0.4,0.58,0.71,0.59,0.45,2.4,5.37,2.0,2.94,3.08,3.6,4.3,3.4,1.34,3.67
d_1,0.55,6.06,0.66,0.49,0.58,0.56,2.18,0.83,2.23,5.4,2.75,3.87,4.0,2.97,3.39,5.25
f_1,0.96,0.6,6.15,0.6,0.59,0.54,2.03,2.87,1.79,2.73,3.42,0.51,4.8,3.56,2.42,3.91
c_1,0.53,0.6,0.58,6.59,1.19,0.56,2.22,3.08,1.89,0.36,2.39,2.5,3.64,2.89,2.68,5.4
b_1,0.51,0.65,0.67,0.49,7.55,1.23,2.15,2.65,2.5,2.71,0.67,2.9,4.47,1.76,2.91,3.7
a_1,0.74,0.61,0.62,0.74,0.51,10.91,1.87,2.0,2.21,2.86,2.54,2.38,4.63,0.55,2.74,4.07
h_1,0.91,1.17,1.4,0.99,0.99,0.99,14.52,4.09,4.32,4.09,5.62,4.31,1.95,5.0,5.86,7.29
d_0,1.16,0.36,1.11,2.12,0.75,1.11,4.4,12.46,3.85,3.94,6.03,4.07,8.31,5.42,4.43,6.71
g_1,0.81,1.67,0.82,1.13,0.92,0.99,3.3,3.95,17.76,4.52,4.43,8.02,4.72,4.84,4.37,2.41
c_0,0.96,1.3,1.42,0.32,0.95,0.88,4.0,5.0,3.76,14.03,10.51,6.23,8.8,5.7,5.24,8.0
b_0,1.27,1.33,1.11,1.31,0.37,0.65,4.64,5.25,3.46,5.03,15.88,5.13,9.25,10.61,4.82,6.37
f_0,1.02,1.2,0.34,1.11,0.98,1.12,4.31,4.89,5.05,6.57,6.57,17.64,6.67,6.62,12.27,7.26
h_0,0.98,1.31,1.32,1.31,0.7,1.07,1.28,5.1,4.72,3.34,4.21,4.48,3.59,6.1,5.59,11.2
a_0,1.09,1.23,1.17,1.15,0.95,,3.79,5.07,5.28,4.95,6.03,5.34,10.82,20.56,6.64,5.68
e_0,0.37,1.23,1.2,1.05,0.83,1.02,5.4,7.83,5.22,5.75,7.11,5.13,10.85,6.98,24.1,10.92
g_0,0.73,1.61,1.14,0.9,1.01,1.07,4.0,4.6,1.83,5.64,5.64,6.62,9.36,4.26,5.75,2.92
