,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.5,0.67,0.71,0.92,0.67,0.6,0.89,0.81,1.38,0.89,0.86,0.8,0.92,1.03,0.48,0.76
f_1,1.17,1.52,0.7,0.71,0.59,0.54,0.72,0.7,0.83,0.82,0.83,0.49,0.67,0.74,0.56,0.76
d_1,0.72,0.81,1.56,0.62,0.67,0.59,0.92,0.77,0.72,1.42,1.02,0.87,0.81,0.92,0.81,0.85
c_1,0.7,0.74,0.82,1.56,1.18,0.55,0.87,0.77,0.71,0.5,0.64,0.72,0.78,0.84,0.71,0.77
b_1,0.78,0.9,0.77,0.61,1.61,1.0,0.84,0.91,0.85,0.69,0.56,0.89,0.59,1.09,0.72,0.92
a_1,0.81,0.91,0.79,0.81,0.66,1.77,1.02,1.02,0.86,0.99,1.02,0.82,0.87,1.16,0.94,1.01
h_1,0.92,1.31,0.99,0.98,0.87,0.65,1.75,1.37,1.0,1.04,1.08,1.09,0.98,0.94,0.94,1.45
g_1,1.0,0.9,1.33,1.07,0.88,0.65,1.06,1.83,1.26,1.09,1.06,1.49,1.07,1.35,1.0,0.81
d_0,0.93,0.99,0.82,1.67,0.97,0.79,1.2,1.08,1.64,0.92,1.07,1.04,1.06,1.26,1.14,1.1
c_0,1.12,1.03,0.9,0.98,0.91,0.76,1.23,1.16,1.43,1.71,2.03,1.34,1.36,1.54,1.1,1.2
b_0,1.07,1.09,0.98,1.19,0.76,0.64,1.18,1.12,1.3,1.02,1.75,1.2,1.99,1.44,1.08,1.15
f_0,0.96,0.86,1.07,1.1,0.83,1.11,1.16,1.03,1.54,1.34,1.12,1.79,1.26,1.61,2.03,1.16
a_0,1.08,1.26,1.12,1.02,1.21,0.58,1.35,1.02,1.28,1.17,1.09,1.26,1.68,1.46,1.33,1.35
h_0,1.0,1.5,1.14,1.15,0.91,0.79,0.99,1.15,1.16,1.07,1.16,1.01,0.96,1.07,1.21,1.5
e_0,1.02,1.39,1.11,1.15,0.98,0.85,1.52,1.16,1.2,1.16,1.26,1.03,1.06,1.33,1.77,1.34
g_0,0.96,1.16,1.64,1.14,0.87,0.75,1.11,1.15,1.13,1.34,1.19,1.71,1.0,1.24,1.21,1.04
