,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.01,1.25,0.73,0.71,0.67,0.56,0.85,0.93,0.89,0.92,0.94,0.57,0.99,0.97,0.92,0.66
e_1,0.78,2.04,0.67,0.9,0.76,0.68,0.92,1.66,0.93,0.91,1.03,1.06,1.08,0.94,1.09,0.68
d_1,0.88,0.75,2.22,0.61,0.69,0.65,0.94,0.64,1.04,1.74,1.13,0.99,1.03,1.08,0.99,1.13
c_1,0.71,0.65,0.77,2.26,1.31,0.68,0.84,0.79,0.85,0.54,0.66,1.08,0.92,0.96,0.93,0.94
b_1,0.78,0.68,0.72,0.76,2.43,1.57,1.03,0.95,0.84,0.82,0.63,0.96,0.81,0.65,0.94,1.06
a_1,0.79,0.77,0.81,0.83,0.64,3.59,1.28,0.92,1.05,0.86,1.03,0.83,1.08,0.82,0.82,0.99
h_1,1.09,0.79,0.99,0.87,0.74,0.62,2.02,0.76,1.32,0.87,1.04,0.94,0.77,0.88,1.34,1.09
d_0,0.8,0.7,0.49,1.59,0.93,0.85,1.1,1.67,0.82,0.66,0.99,1.11,0.9,0.79,1.22,1.21
g_1,0.82,0.74,1.31,0.69,0.73,0.67,0.93,0.83,2.51,1.14,1.15,1.72,1.24,1.12,0.77,1.1
c_0,0.92,0.88,0.93,0.69,0.59,0.82,0.98,0.98,1.04,1.74,2.18,1.21,1.2,1.43,1.1,1.2
b_0,0.92,0.85,1.06,0.88,0.55,0.59,1.08,1.01,0.97,1.14,1.9,1.1,1.22,2.21,1.11,1.26
f_0,0.68,0.6,1.03,0.96,0.9,0.72,1.08,1.09,1.13,1.08,1.35,2.02,1.29,1.32,1.13,2.5
h_0,1.13,0.83,1.0,0.77,0.73,0.7,0.77,0.88,1.43,1.01,1.09,0.98,0.74,1.12,1.25,1.05
a_0,0.82,0.85,1.06,0.96,0.76,0.61,1.17,0.98,1.12,0.94,1.15,1.06,0.97,2.09,1.32,1.07
g_0,0.73,0.69,1.27,0.99,0.79,0.72,1.1,0.91,0.77,1.01,1.18,1.64,1.01,1.15,0.89,1.2
e_0,0.88,0.47,0.92,1.04,0.9,0.84,1.04,1.06,1.09,1.07,1.23,1.22,1.38,1.05,1.23,2.55
