,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.88,0.1,0.09,0.06,0.07,0.04,0.07,0.15,0.09,0.06,0.09,0.07,0.08,0.04,0.01,0.06
f_1,0.17,0.88,0.08,0.09,0.05,0.05,0.07,0.08,0.07,0.05,0.07,0.01,0.07,0.05,0.04,0.05
c_1,0.08,0.1,0.88,0.08,0.13,0.05,0.07,0.08,0.01,0.05,0.05,0.07,0.08,0.05,0.04,0.06
d_1,0.08,0.09,0.06,0.88,0.07,0.04,0.08,0.03,0.15,0.07,0.09,0.07,0.08,0.06,0.05,0.07
b_1,0.08,0.1,0.08,0.08,0.87,0.11,0.07,0.07,0.06,0.05,0.01,0.06,0.07,0.03,0.05,0.06
a_1,0.07,0.11,0.11,0.09,0.05,0.87,0.07,0.09,0.09,0.05,0.06,0.07,0.07,0.01,0.04,0.06
h_1,0.15,0.21,0.14,0.16,0.1,0.09,0.52,0.12,0.12,0.11,0.1,0.11,0.03,0.09,0.09,0.12
d_0,0.15,0.14,0.32,0.04,0.09,0.09,0.13,0.35,0.11,0.1,0.16,0.12,0.14,0.09,0.09,0.1
c_0,0.18,0.18,0.08,0.18,0.08,0.09,0.11,0.18,0.37,0.1,0.28,0.14,0.13,0.08,0.08,0.11
g_1,0.14,0.13,0.13,0.23,0.09,0.08,0.13,0.15,0.11,0.53,0.11,0.22,0.1,0.09,0.1,0.05
b_0,0.2,0.18,0.17,0.16,0.04,0.07,0.13,0.16,0.13,0.1,0.39,0.11,0.14,0.16,0.07,0.12
f_0,0.16,0.05,0.2,0.13,0.14,0.11,0.18,0.17,0.15,0.12,0.12,0.37,0.13,0.1,0.16,0.12
h_0,0.12,0.23,0.16,0.18,0.12,0.06,0.05,0.16,0.13,0.13,0.12,0.1,0.04,0.08,0.07,0.13
a_0,0.19,0.15,0.15,0.16,0.09,,0.16,0.16,0.14,0.12,0.13,0.14,0.16,0.35,0.09,0.11
e_0,0.08,0.18,0.14,0.17,0.12,0.08,0.14,0.19,0.15,0.16,0.16,0.14,0.13,0.12,0.35,0.1
g_0,0.14,0.13,0.15,0.28,0.11,0.07,0.11,0.12,0.09,0.04,0.11,0.15,0.15,0.07,0.09,0.05
