,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.43,0.61,0.91,0.92,0.91,0.86,0.24,0.21,0.29,0.19,0.19,0.25,0.16,0.13,0.22,0.14
f_1,0.88,0.42,0.86,0.94,0.88,0.69,0.2,0.22,0.29,0.18,0.17,0.25,0.19,0.11,0.17,0.14
d_1,1.06,1.02,0.4,1.0,0.89,0.92,0.27,0.28,0.17,0.18,0.2,0.16,0.19,0.11,0.15,0.09
c_1,0.8,1.0,1.27,0.4,0.91,0.88,0.29,0.12,0.28,0.24,0.18,0.18,0.2,0.14,0.18,0.13
b_1,0.99,1.31,1.28,0.62,0.38,0.92,0.31,0.21,0.3,0.32,0.27,0.19,0.23,0.17,0.21,0.14
a_1,1.29,1.43,1.51,1.16,0.67,0.31,0.45,0.29,0.45,0.31,0.35,0.25,0.33,0.23,0.21,0.22
h_1,1.73,1.73,1.61,1.76,1.68,1.43,0.29,0.4,0.44,0.36,0.3,0.34,0.32,0.31,0.3,0.24
d_0,1.31,1.84,2.72,2.2,2.07,2.11,0.65,0.3,0.68,0.4,0.42,0.39,0.42,0.32,0.47,0.34
g_1,1.84,2.14,1.8,2.16,1.98,1.93,0.48,0.44,0.25,0.39,0.37,0.36,0.44,0.21,0.39,0.37
c_0,2.23,2.29,1.25,3.01,2.24,2.06,0.66,0.61,0.51,0.28,0.43,0.39,0.42,0.29,0.4,0.29
b_0,1.91,2.22,1.75,2.99,3.11,2.13,0.69,0.45,0.52,0.26,0.29,0.38,0.46,0.33,0.35,0.32
f_0,1.95,3.4,2.15,2.29,2.15,1.95,0.68,0.5,0.4,0.45,0.47,0.28,0.43,0.31,0.45,0.21
a_0,2.51,2.33,2.21,2.46,3.03,3.08,0.7,0.53,0.62,0.43,0.28,0.48,0.26,0.34,0.44,0.37
h_0,2.46,2.48,2.46,2.43,2.59,2.51,0.87,0.55,0.69,0.49,0.49,0.48,0.46,0.42,0.43,0.34
e_0,3.31,3.4,2.32,2.57,2.25,2.13,0.72,0.63,0.56,0.59,0.52,0.29,0.47,0.37,0.27,0.29
g_0,2.58,3.02,2.76,2.6,3.0,2.78,0.64,0.71,0.87,0.55,0.58,0.48,0.63,0.3,0.49,0.49
