,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.47,0.69,0.75,0.72,0.67,0.36,0.35,0.41,0.3,0.31,0.35,0.29,0.33,0.43,0.3
f_1,0.66,0.4,0.63,0.74,0.68,0.63,0.26,0.3,0.38,0.27,0.27,0.33,0.21,0.27,0.24,0.3
d_1,0.78,0.75,0.39,0.63,0.65,0.58,0.34,0.39,0.27,0.34,0.31,0.28,0.26,0.29,0.3,0.19
c_1,0.57,0.66,0.79,0.39,0.7,0.65,0.41,0.19,0.37,0.38,0.26,0.31,0.28,0.3,0.28,0.23
b_1,0.7,0.74,0.65,0.47,0.36,0.76,0.44,0.33,0.32,0.37,0.42,0.31,0.25,0.32,0.3,0.28
a_1,0.7,0.69,0.67,0.73,0.43,0.3,0.42,0.36,0.4,0.33,0.39,0.35,0.28,0.35,0.32,0.28
h_1,0.61,0.77,0.61,0.63,0.61,0.56,0.24,0.28,0.34,0.25,0.28,0.24,0.28,0.26,0.23,0.23
d_0,0.43,0.64,0.79,0.79,0.68,0.6,0.36,0.24,0.37,0.27,0.28,0.31,0.26,0.29,0.28,0.29
g_1,0.6,0.59,0.65,0.64,0.73,0.58,0.3,0.3,0.22,0.28,0.28,0.33,0.2,0.27,0.28,0.29
c_0,0.71,0.7,0.43,0.84,0.59,0.61,0.38,0.36,0.35,0.22,0.36,0.31,0.23,0.3,0.32,0.23
b_0,0.6,0.68,0.57,0.75,0.71,0.54,0.34,0.3,0.37,0.19,0.22,0.26,0.23,0.34,0.28,0.21
f_0,0.62,0.81,0.62,0.61,0.62,0.56,0.38,0.3,0.24,0.26,0.28,0.21,0.22,0.3,0.35,0.17
h_0,0.67,0.66,0.6,0.58,0.65,0.55,0.37,0.29,0.36,0.29,0.26,0.29,0.27,0.25,0.23,0.25
a_0,0.63,0.68,0.58,0.65,0.7,0.69,0.34,0.33,0.35,0.25,0.17,0.27,0.23,0.19,0.26,0.26
e_0,0.68,0.86,0.55,0.62,0.61,0.59,0.39,0.32,0.29,0.25,0.28,0.17,0.25,0.26,0.19,0.21
g_0,0.59,0.63,0.69,0.67,0.6,0.56,0.29,0.26,0.37,0.28,0.31,0.3,0.19,0.27,0.26,0.24
