,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,11.31,0.71,0.57,0.97,0.59,0.55,0.92,0.81,2.32,0.92,1.02,0.95,0.94,0.98,1.08,0.68
f_1,1.56,12.14,0.6,0.6,0.54,0.62,0.76,0.85,0.89,0.74,1.05,0.46,0.92,0.9,0.74,0.68
d_1,0.58,0.71,15.6,0.53,0.52,0.69,1.1,0.95,0.53,2.28,1.29,1.1,1.05,1.0,1.08,1.05
c_1,0.52,0.55,0.61,14.69,1.77,0.53,0.89,0.93,0.89,0.48,0.55,1.0,0.84,0.94,0.76,0.94
b_1,0.54,0.75,0.69,0.53,15.91,1.74,0.84,0.83,0.65,0.91,0.5,0.93,0.97,0.69,0.79,0.94
a_1,0.62,0.62,0.85,0.57,0.69,25.37,0.99,0.83,0.91,1.1,0.84,1.16,1.25,0.54,1.15,1.19
h_1,0.65,1.18,0.8,0.75,0.76,0.54,3.81,1.67,0.97,0.82,1.23,0.98,0.77,1.25,1.56,1.0
g_1,0.55,0.61,1.62,0.68,0.62,0.72,1.13,4.88,0.66,0.82,1.13,2.08,1.07,1.09,0.91,1.42
d_0,0.61,0.67,0.45,2.28,0.89,0.61,1.01,0.91,2.14,0.75,0.94,1.03,1.35,1.07,1.05,1.23
c_0,0.78,0.96,0.75,0.61,0.49,0.82,1.1,1.13,1.21,2.46,3.31,1.07,1.23,1.25,1.27,1.47
b_0,0.79,0.86,0.89,0.98,0.4,0.42,1.37,1.4,1.1,1.05,3.03,1.32,1.04,3.15,1.34,1.31
f_0,0.58,0.48,0.87,0.93,0.75,0.78,1.28,1.3,1.0,1.11,1.25,3.42,1.45,1.38,1.63,2.89
h_0,0.72,1.38,0.84,0.69,0.7,0.7,0.69,1.6,0.73,0.98,1.15,1.03,0.63,1.09,2.05,1.09
a_0,0.7,0.82,0.99,1.01,0.6,0.41,1.22,1.11,1.12,1.18,1.35,1.32,1.44,3.78,1.29,1.15
g_0,0.66,0.78,1.56,0.7,0.55,0.82,0.96,0.87,0.69,1.0,1.34,2.01,1.09,1.35,1.0,1.3
e_0,0.37,0.75,0.95,0.88,0.83,0.83,1.32,1.35,1.06,1.18,1.14,1.18,1.36,1.45,1.27,3.57
