,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,101.01,54.07,51.22,114.33,135.12,284.08,10248.07,12098.72,27569.52,18527.66,39859.88,32826.13,107633.49,88638.06,154657.53,239997.18
d_1,50.2,113.02,68.78,68.89,120.37,306.16,9733.59,10344.42,11246.74,30589.68,31920.4,37081.84,95203.62,101619.45,146306.67,181563.55
f_1,76.27,51.41,121.56,84.03,96.55,246.2,8282.66,8936.11,16705.69,18317.89,14449.08,29309.94,65847.4,66343.03,117806.37,198862.64
c_1,37.03,51.76,51.98,159.99,186.16,252.1,7889.27,9014.0,12348.67,8952.93,25647.45,20929.14,84200.93,69481.63,97146.41,150722.47
b_1,32.41,43.42,54.75,51.63,216.72,431.93,7588.14,8475.15,12930.25,16505.08,23004.12,17216.51,76348.2,79577.64,62465.75,161373.18
a_1,27.53,34.36,41.1,54.72,52.34,457.83,5909.14,6171.39,8663.89,12165.37,17169.67,20179.45,52704.76,59947.37,54511.56,122825.8
h_1,11.44,14.63,18.76,20.94,31.87,69.68,3755.91,3324.16,3736.99,4873.79,7234.38,6973.27,18786.23,27016.63,32457.78,66121.95
g_1,10.37,18.34,13.66,20.09,30.83,70.58,1962.11,4082.5,3827.28,4746.96,10501.34,7611.97,19023.96,25373.66,28850.63,40247.85
d_0,9.06,10.09,11.94,30.28,28.21,70.57,2159.22,2279.44,4899.22,3523.43,6614.76,4911.82,19654.15,22247.9,23197.94,50852.79
c_0,10.41,11.34,14.02,15.76,20.46,58.57,1977.82,2292.68,3325.13,5672.77,6509.56,10230.25,20727.21,22887.48,34313.78,41597.66
f_0,7.14,11.6,9.72,16.7,22.59,53.99,1679.0,1718.72,3247.6,3352.41,8094.4,5155.5,18137.74,31464.61,20985.21,40117.91
b_0,8.33,9.83,12.07,16.22,13.61,47.42,1818.19,1773.81,3319.24,3272.22,5688.56,8070.67,18357.71,17706.73,40614.04,38524.81
h_0,5.24,7.67,11.59,10.85,15.37,39.63,919.53,1882.3,2205.92,2508.23,3939.29,4279.91,8831.29,13513.35,14574.13,32115.3
e_0,3.75,7.61,8.63,11.32,16.03,37.87,1129.08,1481.24,2300.24,2334.33,3127.92,3894.84,12613.69,19530.27,16644.07,27650.83
a_0,4.83,6.31,7.36,11.74,15.43,16.15,1154.16,1143.39,2184.04,1842.28,3779.24,3271.44,11982.76,11024.83,24380.59,24839.3
g_0,4.04,7.99,5.53,9.36,11.87,27.73,947.06,921.4,1611.09,1875.11,4082.1,2970.29,9589.52,11088.96,12083.89,16454.63
