,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.05,1.57,1.73,1.69,1.61,1.33,0.52,0.6,0.5,0.52,0.47,0.53,0.34,0.46,0.38,0.41
d_1,2.0,1.05,1.85,1.63,1.56,1.37,0.68,0.47,0.55,0.77,0.47,0.49,0.37,0.48,0.31,0.4
e_1,1.29,1.8,1.05,2.0,1.77,1.48,0.69,0.73,0.58,0.64,0.54,0.58,0.43,0.43,0.43,0.58
c_1,1.83,2.37,1.65,1.05,2.22,1.68,0.75,0.71,0.63,0.35,0.44,0.51,0.42,0.44,0.42,0.5
b_1,2.27,2.06,2.15,1.29,1.06,2.22,0.82,0.72,0.69,0.58,0.85,0.61,0.48,0.54,0.46,0.5
a_1,2.85,2.68,2.78,2.53,1.41,1.06,1.03,1.05,0.77,0.76,1.03,0.68,0.6,0.96,0.58,0.61
h_1,5.12,4.29,4.67,4.81,4.35,3.75,1.26,1.71,1.4,1.39,1.23,1.22,1.21,1.1,1.08,1.08
g_1,6.37,5.77,4.82,5.51,5.49,4.3,1.85,1.3,1.65,1.44,1.52,1.67,1.11,1.36,1.28,1.6
c_0,6.31,4.07,5.66,8.41,5.76,5.2,2.29,1.95,1.38,2.09,1.92,1.73,1.31,1.71,1.13,1.56
d_0,5.68,7.03,4.06,7.55,6.5,5.82,2.69,2.65,1.76,1.45,1.64,1.73,1.36,1.51,1.41,1.74
b_0,6.99,5.65,6.51,9.12,7.4,5.13,2.76,2.11,1.26,1.93,1.41,1.94,1.56,2.14,1.44,1.68
f_0,8.5,6.59,6.25,7.19,6.3,6.23,2.73,1.79,1.97,1.99,1.72,1.44,1.59,1.51,1.13,2.06
h_0,8.36,8.25,7.22,8.49,7.98,6.39,3.62,2.76,2.32,2.28,2.14,2.16,2.1,1.83,2.03,1.9
a_0,9.05,8.26,8.8,9.1,10.57,8.88,3.2,3.13,2.07,2.61,1.46,2.54,1.86,1.5,1.66,2.5
g_0,9.81,8.49,8.87,8.86,9.9,7.41,2.91,3.59,2.69,2.68,2.27,2.66,1.51,2.33,2.11,2.17
e_0,10.9,9.6,10.93,8.77,7.95,8.06,3.66,2.66,2.53,2.33,2.73,1.52,1.96,2.14,1.74,1.51
