,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.79,0.98,1.13,0.98,0.95,1.05,1.05,0.93,1.4,1.06,1.19,1.09,1.09,1.05,1.12
f_1,1.26,1.0,0.93,1.07,0.98,0.9,0.82,0.96,0.88,0.96,0.93,0.87,0.95,0.8,0.69,0.95
d_1,1.02,1.07,1.0,0.85,0.97,1.05,1.05,0.89,1.29,0.98,1.09,1.01,0.93,0.98,1.1,0.9
c_1,0.88,0.94,1.19,1.0,1.48,0.91,0.98,0.91,0.68,0.69,0.95,0.91,0.93,0.94,0.99,1.05
b_1,1.02,1.02,1.03,0.68,1.0,1.52,1.16,1.1,0.96,0.99,0.81,1.0,0.87,1.08,1.1,0.98
a_1,1.05,1.09,0.96,1.1,0.67,1.0,1.13,1.14,1.28,1.12,1.15,1.09,1.22,1.26,0.92,1.25
h_1,0.92,1.21,0.98,1.03,0.82,0.92,1.0,1.26,1.01,1.0,0.88,0.93,1.01,0.9,0.96,1.01
g_1,0.96,0.99,1.18,1.14,0.91,0.89,0.81,1.0,0.97,0.99,0.89,1.22,0.88,0.93,1.24,0.93
c_0,1.02,1.2,0.78,1.37,1.0,0.75,0.99,1.05,1.0,1.21,1.46,1.08,1.0,1.07,1.14,0.97
d_0,0.72,0.96,0.99,1.52,1.02,0.87,1.0,1.03,0.87,1.0,1.13,1.05,1.03,1.09,1.06,1.17
b_0,0.9,1.08,1.0,1.11,1.08,0.76,1.17,1.1,0.71,0.85,1.0,0.86,1.51,1.15,1.05,0.99
f_0,0.81,1.15,1.02,1.05,1.01,0.92,1.02,0.86,0.94,0.99,1.15,1.0,1.07,1.25,1.97,0.87
a_0,0.93,1.08,1.0,1.05,1.24,0.9,1.05,1.13,0.98,0.97,0.64,0.96,1.0,1.01,1.04,0.77
h_0,0.89,1.29,1.03,1.09,0.95,0.75,1.14,1.08,0.95,0.92,0.84,0.79,0.93,1.0,1.01,1.08
e_0,0.85,1.49,0.88,1.0,0.96,1.19,1.09,0.8,0.93,1.02,0.93,0.56,0.95,0.98,1.0,1.16
g_0,0.92,0.98,1.16,0.96,1.07,0.82,0.96,1.08,0.99,0.81,0.99,1.16,1.22,0.94,0.81,1.0
