,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,1.07,0.76,1.08,1.61,3.8,18.89,21.97,37.26,24.08,29.12,45.89,84.08,64.41,,141.22
d_1,0.93,1.0,1.03,1.26,1.4,2.47,23.5,15.28,,32.48,35.06,39.05,53.47,95.2,82.65,100.69
f_1,1.31,0.97,1.0,1.07,1.38,4.17,14.3,20.6,24.18,26.36,26.77,,58.1,101.29,81.97,125.93
c_1,0.92,0.8,0.93,1.0,1.57,2.29,16.35,14.07,16.85,,21.32,29.73,67.33,68.67,88.9,90.73
b_1,0.62,0.71,0.72,0.64,1.0,2.94,15.34,17.96,20.37,21.95,,27.9,55.9,,80.53,93.65
a_1,0.26,0.41,0.24,0.44,0.34,1.0,4.69,9.21,9.84,11.83,9.81,16.26,34.02,,,48.17
h_1,0.05,0.04,0.07,0.06,0.07,0.21,1.0,1.2,1.53,1.62,1.64,1.79,,3.68,4.56,7.27
g_1,0.05,0.07,0.05,0.07,0.06,0.11,0.83,1.0,1.13,1.29,1.17,2.69,3.35,3.81,5.45,
d_0,0.03,,0.04,0.06,0.05,0.1,0.65,0.89,1.0,1.05,1.09,1.38,3.27,3.29,3.18,5.32
c_0,0.04,0.03,0.04,,0.05,0.08,0.62,0.77,0.95,1.0,1.67,1.65,3.54,2.83,3.79,3.15
b_0,0.03,0.03,0.04,0.05,,0.1,0.61,0.85,0.92,0.6,1.0,1.2,2.21,3.66,3.22,3.37
f_0,0.02,0.03,,0.03,0.04,0.06,0.56,0.37,0.72,0.61,0.83,1.0,1.82,1.99,4.06,2.58
h_0,0.01,0.02,0.02,0.01,0.02,0.03,,0.3,0.31,0.28,0.45,0.55,,0.8,1.26,2.03
a_0,0.02,0.01,0.01,0.01,,,0.27,0.26,0.3,0.35,0.27,0.5,1.24,1.0,1.14,1.63
e_0,,0.01,0.01,0.01,0.01,,0.22,0.18,0.31,0.26,0.31,0.25,0.79,0.87,1.0,
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,,0.19,0.32,0.3,0.39,0.49,0.61,,
