,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.05,1.83,1.56,1.67,1.47,1.26,0.49,0.61,0.54,0.47,0.57,0.47,0.3,0.43,0.38,0.38
e_1,1.22,1.05,1.71,1.88,1.65,1.44,0.69,0.66,0.64,0.5,0.63,0.58,0.39,0.49,0.64,0.39
d_1,1.95,2.03,1.05,1.58,1.55,1.25,0.62,0.46,0.79,0.55,0.46,0.45,0.37,0.4,0.45,0.27
c_1,1.89,1.62,2.26,1.05,2.17,1.74,0.7,0.66,0.36,0.59,0.53,0.46,0.43,0.49,0.49,0.37
b_1,2.38,1.99,2.42,1.35,1.06,2.25,0.88,0.87,0.62,0.77,0.57,0.79,0.56,0.51,0.55,0.43
a_1,3.4,3.06,3.41,2.93,1.46,1.06,1.07,1.14,0.78,0.99,0.86,1.12,0.71,0.94,0.7,0.61
h_1,5.47,4.96,4.89,4.88,3.95,3.53,1.27,1.88,1.54,1.26,1.29,1.37,1.28,1.08,1.07,1.14
g_1,5.69,5.38,5.75,5.42,4.65,3.89,1.74,1.3,1.59,1.67,1.7,1.53,0.91,1.43,1.35,1.21
d_0,5.74,3.87,6.43,7.41,5.52,6.12,2.18,2.32,1.4,1.58,1.73,1.59,1.25,1.6,1.28,1.4
c_0,6.83,6.29,4.08,8.87,6.08,4.97,2.9,2.15,2.72,1.39,1.67,2.23,1.4,1.74,1.66,1.16
f_0,8.16,5.78,6.01,5.92,6.68,5.15,2.77,1.91,1.91,1.93,1.4,1.67,1.47,1.73,1.86,0.98
b_0,7.03,6.16,5.67,9.25,8.42,4.57,2.79,2.55,2.22,1.16,2.11,1.41,1.46,2.39,1.63,1.36
h_0,8.74,7.82,7.87,8.93,7.09,5.91,3.96,3.53,2.67,2.38,2.43,2.22,2.09,2.15,1.85,1.72
a_0,8.61,8.07,8.09,9.04,9.95,9.49,3.6,2.64,2.56,2.17,2.66,1.49,1.7,1.51,2.26,1.62
e_0,10.64,9.79,8.49,8.08,7.86,7.29,3.71,2.83,3.16,2.27,1.46,2.49,2.15,2.1,1.53,1.47
g_0,10.63,9.81,10.62,11.37,9.79,8.97,3.11,4.28,3.14,2.91,2.93,2.62,1.96,2.44,2.88,2.32
