,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.96,0.61,0.61,0.67,0.5,0.39,0.43,0.38,0.34,0.57,0.36,0.36,0.36,0.28,0.25,0.34
f_1,0.93,0.96,0.55,0.58,0.46,0.42,0.37,0.34,0.33,0.39,0.35,0.27,0.33,0.27,0.19,0.29
d_1,0.67,0.7,0.96,0.46,0.49,0.44,0.44,0.61,0.33,0.36,0.41,0.36,0.38,0.32,0.32,0.31
c_1,0.65,0.65,0.7,0.95,0.8,0.48,0.41,0.33,0.39,0.34,0.35,0.37,0.37,0.26,0.28,0.32
b_1,0.68,0.74,0.72,0.57,0.95,0.78,0.44,0.42,0.38,0.39,0.33,0.37,0.4,0.26,0.29,0.35
a_1,0.8,0.78,0.73,0.63,0.49,0.94,0.56,0.47,0.46,0.42,0.5,0.46,0.46,0.36,0.37,0.37
h_1,0.92,1.19,0.97,0.79,0.75,0.55,0.81,0.57,0.6,0.57,0.54,0.54,0.48,0.45,0.43,0.58
c_0,1.03,1.14,0.92,0.83,0.74,0.64,0.72,0.77,0.6,0.69,0.9,0.57,0.63,0.56,0.46,0.53
g_1,0.98,1.0,1.31,0.77,0.85,0.69,0.59,0.66,0.79,0.54,0.57,0.64,0.51,0.49,0.45,0.41
d_0,0.95,1.04,0.85,1.33,0.95,0.65,0.65,0.51,0.6,0.72,0.6,0.55,0.58,0.46,0.44,0.52
b_0,1.17,1.12,1.05,0.96,0.78,0.49,0.71,0.58,0.57,0.6,0.74,0.57,0.56,0.82,0.47,0.51
f_0,0.92,1.0,1.06,1.02,0.91,0.72,0.71,0.68,0.57,0.71,0.63,0.74,0.62,0.55,0.76,0.5
h_0,1.21,1.32,1.07,0.95,0.91,0.71,0.59,0.64,0.73,0.68,0.69,0.56,0.56,0.51,0.46,0.63
a_0,1.15,1.28,1.15,1.12,1.0,0.5,0.77,0.71,0.64,0.7,0.54,0.61,0.69,0.71,0.47,0.53
e_0,1.11,1.56,1.02,1.02,0.93,0.78,0.79,0.76,0.65,0.69,0.71,0.57,0.7,0.57,0.7,0.6
g_0,1.08,1.15,1.42,1.07,0.93,0.74,0.69,0.74,0.63,0.65,0.75,0.85,0.62,0.55,0.53,0.51
