,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.14,0.95,0.97,1.04,1.14,1.0,,0.8,1.46,1.1,0.91,0.83,1.26,0.77,0.75
e_1,0.88,1.0,0.68,0.98,1.06,1.04,1.17,1.21,1.15,1.03,1.15,1.07,1.03,0.82,,1.04
f_1,1.06,1.48,1.0,1.03,0.82,1.29,0.87,1.0,1.26,0.96,,1.05,0.71,0.9,0.77,1.0
c_1,1.03,1.02,0.97,1.0,1.22,1.08,0.9,0.69,1.07,,0.89,0.92,1.28,1.0,,1.35
b_1,0.96,0.94,1.21,0.82,1.0,1.26,1.11,0.81,1.0,1.12,0.8,,1.02,1.09,1.12,1.18
a_1,0.88,0.96,0.77,0.92,0.79,1.0,1.16,0.97,1.07,1.21,1.21,1.14,1.15,,,1.0
h_1,1.0,0.85,1.15,1.11,0.9,0.86,1.0,1.04,1.48,0.88,0.85,0.85,,0.94,1.11,1.07
d_0,,0.83,1.0,1.46,1.24,1.03,0.96,1.0,0.89,0.93,0.96,0.85,0.94,0.95,0.89,1.08
g_1,1.25,0.87,0.79,0.94,1.0,0.94,0.68,1.12,1.0,1.26,1.14,1.08,0.98,,0.97,
c_0,0.69,0.97,1.04,,0.89,0.83,1.14,1.08,0.8,1.0,1.11,1.6,1.2,0.83,0.95,1.07
f_0,0.91,0.87,,1.12,1.24,0.83,1.18,1.04,0.88,0.9,1.0,1.06,1.02,0.88,1.44,0.84
b_0,1.1,0.94,0.95,1.09,,0.87,1.18,1.18,0.93,0.63,0.94,1.0,1.04,1.8,1.04,0.88
h_0,1.21,0.97,1.41,0.78,0.98,0.87,,1.07,1.02,0.83,0.98,0.96,,0.97,0.85,1.01
a_0,0.79,1.21,1.11,1.0,0.92,,1.07,1.05,,1.21,1.13,0.55,1.03,1.0,,0.92
e_0,1.3,,1.29,,0.89,,0.9,1.12,1.03,1.05,0.7,0.97,1.18,,1.0,1.06
g_0,1.34,0.96,1.0,0.74,0.85,1.0,0.94,0.93,,0.94,1.2,1.13,0.99,1.09,0.94,
