,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.26,0.56,1.04,0.52,0.46,0.38,0.9,0.79,1.1,1.1,0.97,0.5,1.36,0.87,0.66,1.01
d_1,0.66,2.33,0.54,0.48,0.47,0.42,1.07,0.99,2.19,0.52,1.47,1.04,1.45,1.01,1.06,1.24
e_1,0.71,0.47,2.35,0.63,0.5,0.4,0.99,0.97,1.15,2.21,1.35,1.09,1.54,1.0,0.55,1.48
c_1,0.58,0.53,0.48,2.5,1.02,0.45,0.86,0.85,0.49,1.19,0.86,1.23,1.42,0.91,0.97,1.49
b_1,0.6,0.65,0.53,0.56,2.63,0.82,1.09,0.76,1.07,1.3,0.41,1.1,1.41,0.95,0.91,1.36
a_1,0.62,0.68,0.54,0.58,0.46,3.08,0.94,1.11,1.12,0.99,1.29,1.24,1.89,0.45,0.99,1.17
h_1,1.01,0.77,0.59,0.75,0.54,0.43,3.2,1.62,1.17,1.18,1.1,1.34,1.32,1.03,1.2,2.16
g_1,0.61,1.14,0.62,0.74,0.54,0.44,1.33,3.35,1.27,1.05,1.23,1.99,1.71,1.33,1.22,1.11
c_0,0.88,0.8,0.68,0.45,0.46,0.59,1.38,1.22,2.77,1.14,2.75,1.25,1.96,1.45,1.2,1.84
d_0,0.8,0.38,0.69,1.38,0.65,0.5,1.24,1.07,0.78,2.74,1.23,1.38,1.74,1.1,1.15,1.45
b_0,0.81,0.67,0.75,0.69,0.48,0.43,1.4,1.36,1.44,1.47,2.88,1.25,1.77,2.61,1.23,1.7
f_0,0.51,0.89,0.59,0.79,0.59,0.51,1.57,1.22,1.52,1.11,1.59,3.0,2.3,1.29,2.6,1.78
h_0,1.04,0.78,0.7,0.67,0.66,0.5,0.84,1.58,1.18,1.24,1.44,1.27,1.26,1.13,1.19,2.23
a_0,0.85,0.72,0.73,0.68,0.62,0.27,1.61,1.06,1.62,1.39,1.49,1.56,2.25,3.09,1.33,1.88
e_0,0.85,0.82,0.39,0.81,0.7,0.52,1.51,1.21,1.47,1.23,1.53,1.48,1.62,1.03,3.41,1.68
g_0,0.66,1.25,0.43,0.59,0.62,0.53,1.43,0.8,1.59,1.04,1.43,2.12,1.81,1.31,1.34,1.08
