,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.44,1.03,1.76,1.73,1.71,2.03,0.49,0.53,0.39,0.37,0.41,0.47,0.4,0.29,0.27,0.88
f_1,1.52,0.43,1.54,1.58,1.66,1.74,0.37,0.75,0.38,0.33,0.32,0.66,0.35,0.17,0.3,0.28
d_1,2.16,1.65,0.42,1.86,1.69,1.66,0.53,0.32,0.67,0.31,0.37,0.3,0.29,0.23,0.18,0.3
c_1,1.59,1.7,2.21,0.41,1.82,1.39,0.52,0.44,0.21,0.69,0.38,0.31,0.39,0.27,0.32,0.32
b_1,2.19,2.43,1.94,1.05,0.38,2.09,0.55,0.58,0.45,0.56,1.0,0.49,0.45,0.29,0.27,0.32
a_1,2.84,2.34,2.29,3.31,1.25,0.31,1.04,0.62,0.57,0.45,0.49,0.5,1.15,0.35,0.38,0.47
h_1,2.79,2.46,2.75,2.83,3.23,2.23,0.33,0.81,0.64,0.66,0.61,0.49,0.57,0.64,0.43,0.51
g_1,2.82,3.59,2.6,3.38,3.33,2.87,0.68,0.31,0.67,0.65,0.57,0.48,0.58,0.36,0.48,0.61
d_0,1.65,3.29,5.46,3.25,3.7,2.91,1.01,1.13,0.37,0.71,0.7,0.65,0.74,0.57,0.47,0.64
c_0,2.82,4.03,1.66,6.38,3.95,3.21,0.87,0.87,1.02,0.37,0.7,0.67,0.68,0.52,0.4,0.63
b_0,3.25,3.07,2.54,4.75,6.57,2.89,0.93,1.04,0.74,0.38,0.34,0.65,0.65,0.57,0.51,0.69
f_0,3.21,6.51,3.25,3.61,3.64,3.1,0.97,0.55,0.66,0.62,0.64,0.33,0.65,0.57,0.29,0.62
a_0,3.86,3.76,3.47,3.78,4.1,6.43,1.07,1.26,0.99,0.7,0.44,0.73,0.33,0.49,0.49,0.8
h_0,3.34,4.42,3.65,3.73,4.03,3.12,1.4,1.3,0.9,0.77,0.78,0.72,0.85,1.06,0.52,0.74
g_0,4.29,3.97,4.58,4.36,4.77,4.28,1.01,1.76,0.98,0.9,0.8,0.94,0.79,0.47,0.88,0.77
e_0,5.23,7.13,4.64,4.48,4.06,3.48,1.18,1.01,0.79,0.97,0.94,0.41,0.78,0.61,0.53,0.32
