,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.71,1.21,1.56,1.57,3.32,22.64,33.67,24.51,24.31,43.31,55.27,71.14,113.7,81.59,105.48
f_1,1.4,1.0,0.96,0.94,1.24,2.49,13.75,22.09,23.75,27.73,35.91,29.14,54.44,65.68,94.14,88.1
d_1,0.83,1.04,1.0,0.93,1.31,2.37,15.42,19.18,18.79,31.97,30.64,38.03,55.19,81.2,71.67,63.1
c_1,0.64,1.06,1.07,1.0,1.92,2.65,14.28,14.47,18.24,17.8,33.13,32.66,65.2,69.04,68.86,90.48
b_1,0.64,0.81,0.76,0.52,1.0,3.06,11.66,15.08,15.31,18.76,22.85,34.18,46.31,57.91,50.43,63.58
a_1,0.3,0.4,0.42,0.38,0.33,1.0,5.68,8.74,8.44,8.18,9.9,18.05,25.86,32.36,30.46,31.91
h_1,0.04,0.07,0.07,0.07,0.09,0.18,1.0,1.27,1.74,1.46,2.0,2.27,3.45,4.78,4.6,6.43
d_0,0.03,0.05,0.05,0.07,0.06,0.11,0.78,1.0,1.28,1.06,1.65,1.9,2.36,4.05,4.39,4.2
g_1,0.04,0.04,0.05,0.05,0.07,0.11,0.58,0.74,1.0,1.09,1.85,1.53,2.3,3.36,3.31,3.25
c_0,0.04,0.04,0.03,0.06,0.05,0.12,0.72,0.98,0.94,1.0,1.52,2.02,2.29,3.07,3.09,3.74
f_0,0.02,0.03,0.03,0.03,0.04,0.09,0.51,0.63,0.59,0.65,1.0,1.28,1.72,3.57,2.83,2.17
b_0,0.02,0.03,0.03,0.03,0.03,0.05,0.42,0.51,0.65,0.49,0.76,1.0,1.59,2.41,3.02,2.39
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.29,0.38,0.44,0.41,0.57,0.65,1.0,1.08,1.34,1.51
e_0,0.01,0.02,0.01,0.01,0.02,0.03,0.21,0.27,0.31,0.34,0.27,0.43,0.98,1.0,1.36,1.22
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.21,0.23,0.29,0.32,0.34,0.33,0.76,0.7,1.0,0.93
g_0,0.01,0.01,0.02,0.01,0.01,0.03,0.15,0.24,0.32,0.27,0.48,0.42,0.67,0.84,1.03,1.0
