,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.92,0.79,1.07,0.99,0.83,1.01,1.48,0.93,1.33,0.94,1.06,0.99,1.26,1.02,1.15
d_1,1.08,1.0,1.01,1.02,0.89,0.95,1.02,1.22,1.28,0.77,1.06,0.93,1.14,0.7,1.19,0.97
f_1,1.27,0.99,1.0,1.05,0.78,1.07,0.9,0.83,0.92,0.98,0.93,0.89,0.88,1.31,1.02,1.05
c_1,0.94,0.98,0.95,1.0,1.59,0.84,1.08,0.68,0.9,0.92,0.9,1.14,1.02,0.93,1.1,0.89
b_1,1.01,1.13,1.29,0.63,1.0,1.73,0.93,1.0,0.97,1.06,0.92,0.84,1.13,0.92,0.79,0.87
a_1,1.2,1.05,0.93,1.19,0.58,1.0,1.15,1.08,1.03,1.36,1.2,1.08,0.98,0.98,0.78,0.98
h_1,1.01,1.02,1.14,0.95,1.1,0.87,1.0,1.09,1.07,1.24,0.85,0.93,1.0,1.05,0.93,1.08
d_0,0.64,0.77,1.28,1.47,1.01,0.93,0.96,1.0,0.87,0.93,1.15,0.82,0.98,1.02,0.92,1.01
c_0,1.07,0.77,1.1,1.14,1.07,0.93,0.92,1.11,1.0,0.97,1.35,1.12,0.96,1.12,1.15,1.05
g_1,0.75,1.33,1.02,1.09,0.92,0.75,0.8,1.08,1.1,1.0,1.07,1.34,0.72,1.26,1.02,0.96
b_0,0.98,0.96,1.1,1.13,1.11,0.8,1.18,0.86,0.73,0.96,1.0,0.97,0.96,1.05,0.88,1.54
f_0,0.9,1.04,1.18,0.91,1.15,0.97,1.04,1.19,0.93,0.73,0.99,1.0,1.07,0.97,1.15,0.88
h_0,0.97,0.92,1.14,1.0,0.91,0.95,1.05,0.99,0.98,1.41,1.03,0.96,1.0,1.1,0.78,0.75
g_0,0.78,1.37,0.81,1.11,1.0,0.97,0.94,0.97,0.88,0.85,0.88,1.1,0.89,1.0,0.83,0.89
e_0,0.9,0.83,1.03,1.0,1.3,1.13,1.06,1.16,0.95,0.92,1.1,0.86,1.21,1.24,1.0,0.77
a_0,0.84,0.99,1.0,1.06,1.21,,1.01,1.02,0.92,1.13,0.67,1.08,1.29,1.03,1.15,1.0
