,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,35.69,0.09,0.09,0.06,0.04,0.05,0.32,0.72,0.29,0.3,0.31,0.37,0.54,0.37,,0.63
f_1,0.11,38.15,0.08,0.07,0.06,0.1,0.28,0.43,0.27,0.39,0.38,,0.63,0.31,0.29,0.44
c_1,0.07,0.07,38.82,0.08,0.12,0.07,0.27,0.4,0.29,,0.34,0.39,0.69,0.38,0.46,0.52
d_1,0.06,0.05,0.05,40.45,0.1,0.06,0.39,,0.33,0.84,0.31,0.35,0.65,0.39,0.39,0.56
b_1,0.07,0.06,0.06,0.07,48.09,0.13,0.24,0.35,0.23,0.36,,0.4,0.71,0.41,0.5,0.71
a_1,0.09,0.07,0.06,0.06,0.05,68.82,0.36,0.34,0.24,0.36,0.5,0.31,0.62,,0.39,0.72
h_1,0.26,0.42,0.24,0.28,0.25,0.27,31.35,1.44,1.99,1.77,0.93,1.52,,1.22,,3.02
d_0,0.34,0.39,0.74,,0.43,0.38,1.86,15.64,1.17,1.94,2.43,2.03,2.42,2.61,1.94,2.45
g_1,0.23,0.32,0.19,0.34,0.29,0.23,1.17,1.17,34.93,1.78,1.99,1.84,1.94,1.46,1.2,
c_0,0.37,0.37,,0.38,0.41,0.27,1.97,1.49,1.26,18.34,5.0,2.24,3.84,,1.78,3.05
b_0,0.36,0.3,0.31,0.44,,0.36,1.36,2.31,1.58,1.84,21.29,2.15,3.22,4.04,2.26,2.28
f_0,0.3,,0.29,0.48,0.35,0.3,1.33,2.57,1.26,1.73,2.33,23.56,3.12,,4.89,3.26
h_0,0.45,0.79,0.61,0.45,0.51,0.46,,3.78,3.56,3.47,2.15,3.51,,3.31,2.92,5.32
a_0,0.39,0.32,0.39,0.36,0.31,,1.22,2.79,,2.1,,2.5,3.34,32.72,2.79,2.76
e_0,,0.32,0.47,0.34,0.35,0.58,1.7,2.56,1.2,2.48,1.87,,3.5,,32.3,4.42
g_0,0.38,0.39,0.46,0.96,0.74,0.59,1.95,2.38,,3.13,2.93,4.55,5.02,3.01,3.66,
