,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.72,1.25,0.96,1.11,0.83,1.1,1.44,0.97,1.04,1.03,1.18,1.06,1.04,1.14,1.06
f_1,1.38,1.0,0.93,0.9,0.92,0.98,0.75,0.97,0.95,0.83,0.94,0.95,0.9,0.79,0.75,1.0
c_1,0.8,1.09,1.0,1.04,1.28,1.01,1.08,0.68,1.09,0.87,0.79,1.0,0.96,1.01,0.91,0.9
d_1,1.04,1.11,0.97,1.0,0.98,0.85,1.06,0.94,0.82,1.25,1.07,0.91,0.95,1.12,1.01,0.83
b_1,0.89,1.09,0.77,1.01,1.0,1.48,0.94,0.97,1.08,1.17,1.26,1.01,1.15,0.96,1.03,1.23
a_1,1.22,1.03,0.99,1.18,0.68,1.0,1.32,1.13,1.16,0.98,1.15,0.86,1.07,1.06,1.03,0.99
h_1,0.92,1.34,0.93,0.92,1.05,0.8,1.0,0.99,1.28,0.82,0.97,1.03,0.96,1.06,0.98,1.05
d_0,0.67,1.0,1.5,1.09,1.03,0.9,1.01,1.0,1.25,0.8,1.05,0.97,0.97,0.93,1.11,1.26
g_1,1.03,1.03,0.93,1.19,1.0,0.91,0.8,0.83,1.0,1.13,0.94,1.13,0.98,0.79,1.1,1.04
c_0,0.91,1.13,1.15,0.79,0.86,1.0,1.21,1.25,0.95,1.01,1.51,1.09,1.11,1.08,1.15,1.08
b_0,0.96,1.08,1.22,0.96,0.81,0.89,1.0,1.03,1.17,0.71,1.0,1.01,1.06,1.34,1.11,1.13
f_0,0.83,1.07,1.03,1.12,1.04,1.07,0.98,1.01,0.86,0.96,0.96,1.0,1.11,1.15,1.38,0.82
h_0,0.89,1.18,0.98,1.05,0.88,0.95,1.06,1.05,1.05,0.9,0.92,0.92,1.0,0.94,0.98,1.25
a_0,0.93,1.25,0.95,0.94,1.05,1.02,0.95,1.05,1.26,0.95,0.73,0.91,1.05,1.0,1.07,1.05
e_0,0.9,1.29,1.05,1.01,1.03,0.97,1.03,0.89,0.97,0.78,0.92,0.67,1.07,0.86,1.0,0.92
g_0,0.89,0.98,1.04,1.23,0.87,0.95,0.98,0.84,0.97,1.02,0.96,1.27,0.79,0.94,1.05,1.0
