,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.73,0.6,0.69,0.65,0.61,0.28,0.33,0.36,0.29,0.3,0.34,0.21,0.3,0.29,0.28
e_1,0.47,0.41,0.67,0.77,0.72,0.64,0.37,0.41,0.38,0.29,0.32,0.39,0.27,0.28,0.31,0.44
d_1,0.71,0.72,0.39,0.64,0.69,0.59,0.32,0.45,0.26,0.34,0.26,0.29,0.23,0.27,0.19,0.29
c_1,0.68,0.56,0.79,0.39,0.76,0.6,0.34,0.19,0.39,0.32,0.26,0.3,0.27,0.29,0.22,0.26
b_1,0.74,0.65,0.69,0.44,0.37,0.89,0.4,0.28,0.38,0.38,0.38,0.29,0.25,0.28,0.27,0.28
a_1,0.82,0.7,0.73,0.7,0.36,0.3,0.48,0.3,0.44,0.31,0.43,0.31,0.31,0.39,0.26,0.29
h_1,0.69,0.63,0.63,0.7,0.56,0.45,0.24,0.26,0.37,0.3,0.3,0.27,0.28,0.25,0.25,0.27
d_0,0.61,0.39,0.71,0.86,0.65,0.65,0.41,0.24,0.37,0.27,0.32,0.29,0.25,0.28,0.27,0.29
g_1,0.64,0.62,0.63,0.66,0.65,0.55,0.27,0.32,0.21,0.3,0.31,0.3,0.2,0.28,0.29,0.26
c_0,0.65,0.64,0.43,0.83,0.61,0.68,0.39,0.35,0.32,0.23,0.36,0.29,0.26,0.3,0.24,0.31
b_0,0.66,0.63,0.56,0.81,0.73,0.55,0.34,0.32,0.32,0.18,0.22,0.25,0.25,0.32,0.22,0.26
f_0,0.79,0.54,0.63,0.62,0.61,0.64,0.37,0.28,0.24,0.26,0.3,0.21,0.25,0.33,0.17,0.3
h_0,0.66,0.57,0.62,0.62,0.67,0.51,0.4,0.3,0.31,0.27,0.25,0.26,0.29,0.28,0.25,0.22
a_0,0.64,0.65,0.63,0.63,0.81,0.58,0.41,0.36,0.34,0.24,0.18,0.29,0.23,0.2,0.24,0.29
g_0,0.61,0.55,0.7,0.67,0.65,0.63,0.29,0.27,0.39,0.29,0.27,0.32,0.2,0.24,0.26,0.25
e_0,0.84,0.66,0.54,0.66,0.62,0.64,0.33,0.28,0.35,0.26,0.3,0.17,0.26,0.28,0.22,0.18
