,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,0.96,1.16,1.01,0.93,1.08,1.06,0.95,1.33,1.04,1.2,1.09,1.1,1.14,1.11
f_1,1.24,1.0,0.95,1.05,0.97,0.93,0.8,1.01,0.88,1.0,0.99,0.84,0.96,0.83,0.66,0.98
d_1,1.02,1.06,1.0,0.84,1.03,0.95,0.98,0.88,1.29,1.0,1.03,1.0,0.95,0.97,1.08,0.86
c_1,0.87,0.98,1.18,1.0,1.32,0.96,0.98,0.91,0.78,0.7,0.93,0.96,0.97,0.9,1.02,1.03
b_1,0.97,1.02,0.95,0.76,1.0,1.47,1.2,1.1,1.03,1.0,0.89,1.04,0.84,1.08,1.04,1.0
a_1,1.04,1.06,1.03,1.03,0.68,1.0,1.12,1.16,1.16,1.13,1.15,1.04,1.1,1.32,0.97,1.15
h_1,0.94,1.24,1.02,1.01,0.81,0.87,1.0,1.16,0.98,0.97,0.89,0.93,0.93,0.99,0.95,1.11
g_1,0.95,0.99,1.12,1.09,0.91,0.87,0.86,1.0,0.99,0.98,0.96,1.24,0.96,0.93,1.14,1.03
c_0,1.03,1.13,0.8,1.23,0.98,0.85,1.05,1.02,1.0,1.18,1.38,1.04,1.04,1.09,1.15,1.04
d_0,0.75,1.0,0.93,1.47,1.06,0.88,1.07,1.02,0.87,1.0,1.02,1.0,1.06,1.08,1.13,1.18
b_0,0.92,1.07,1.01,1.14,1.02,0.78,1.14,1.03,0.71,0.92,1.0,0.91,1.42,1.1,1.02,1.01
f_0,0.86,1.23,1.0,1.0,0.94,0.95,1.04,0.83,0.95,1.01,1.13,1.0,1.06,1.15,1.74,0.92
a_0,0.94,1.01,0.97,1.08,1.16,0.95,1.12,1.02,0.97,0.92,0.73,1.0,1.0,1.03,1.03,0.82
h_0,0.88,1.19,1.04,1.06,1.01,0.83,1.04,1.06,0.93,0.92,0.86,0.86,0.96,1.0,0.94,1.1
e_0,0.89,1.44,0.92,0.98,1.07,1.04,1.13,0.87,0.93,0.95,1.0,0.61,0.96,1.06,1.0,0.99
g_0,0.88,1.04,1.11,0.95,1.01,0.91,0.91,0.97,0.96,0.84,1.0,1.16,1.14,0.91,1.0,1.0
