,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.75,1.12,1.5,1.89,3.64,24.99,41.65,31.79,33.16,41.83,45.2,73.98,89.03,97.33,
f_1,1.34,1.0,1.21,1.25,1.73,2.12,17.69,24.57,28.03,25.71,35.92,,68.93,114.09,95.36,78.04
d_1,0.89,0.83,1.0,1.15,1.49,,19.56,,27.14,44.85,33.64,37.53,56.57,89.07,71.54,79.77
c_1,0.67,0.8,0.87,1.0,2.1,1.78,18.58,17.07,22.43,,31.22,26.45,56.33,75.03,83.13,51.32
b_1,0.53,0.58,0.67,0.48,1.0,2.85,12.64,18.78,16.36,24.14,,27.32,32.3,56.35,51.35,79.76
a_1,0.27,0.47,,0.56,0.35,1.0,5.42,9.52,,9.76,8.14,10.95,23.3,,39.8,28.46
h_1,0.04,0.06,0.05,0.05,0.08,0.18,1.0,1.46,1.63,1.43,1.65,1.45,,5.2,6.19,6.77
d_0,0.02,0.04,,0.06,0.05,0.11,0.69,1.0,1.14,1.28,1.13,1.31,3.04,3.03,4.0,3.59
g_1,0.03,0.04,0.04,0.04,0.06,,0.61,0.88,1.0,1.02,1.5,1.55,2.16,3.17,,
c_0,0.03,0.04,0.02,,0.04,0.1,0.7,0.78,0.98,1.0,1.6,1.22,2.26,2.7,4.71,3.66
b_0,0.02,0.03,0.03,0.03,,0.12,0.61,0.88,0.67,0.63,1.0,1.02,2.16,3.69,2.81,2.87
f_0,0.02,,0.03,0.04,0.04,0.09,0.69,0.76,0.64,0.82,0.98,1.0,1.79,3.19,1.79,3.27
h_0,0.01,0.01,0.02,0.02,0.03,0.04,,0.33,0.46,0.44,0.46,0.56,,1.24,1.57,1.4
a_0,0.01,0.01,0.01,0.01,0.02,,0.19,0.33,0.32,0.37,0.27,0.31,0.81,1.0,1.22,
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.25,,0.21,0.36,0.56,0.64,0.82,,1.2
e_0,,0.01,0.01,0.02,0.01,0.04,0.15,0.28,,0.27,0.35,0.31,0.71,,0.83,1.0
