,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,1.07,0.75,1.22,1.11,0.92,0.52,0.48,0.5,0.42,0.4,0.45,0.33,0.37,0.49,0.36
d_1,1.34,0.65,1.13,1.08,0.99,0.88,0.45,0.56,0.35,0.42,0.4,0.38,0.29,0.34,0.32,0.23
f_1,1.21,1.03,0.65,1.08,1.01,0.87,0.37,0.4,0.55,0.37,0.37,0.46,0.28,0.36,0.33,0.31
c_1,0.89,1.27,1.17,0.64,1.31,0.98,0.53,0.27,0.49,0.49,0.34,0.4,0.3,0.34,0.4,0.34
b_1,1.13,1.25,1.21,0.73,0.62,1.59,0.56,0.45,0.56,0.56,0.55,0.42,0.41,0.35,0.43,0.36
a_1,1.62,1.63,1.52,1.31,0.69,0.56,0.69,0.56,0.67,0.55,0.66,0.52,0.42,0.7,0.5,0.45
h_1,1.62,1.71,2.03,1.64,1.66,1.4,0.55,0.6,0.82,0.63,0.58,0.56,0.6,0.56,0.53,0.49
d_0,1.28,2.11,1.77,2.23,1.96,1.84,1.06,0.58,0.93,0.63,0.66,0.64,0.61,0.62,0.54,0.57
g_1,1.92,1.92,1.9,1.92,1.82,1.5,0.72,0.71,0.52,0.68,0.66,0.69,0.43,0.55,0.63,0.6
c_0,1.9,1.34,2.19,2.67,1.78,1.63,0.96,1.05,0.87,0.56,0.87,0.7,0.63,0.69,0.61,0.48
b_0,1.97,1.67,2.02,2.75,2.47,1.69,0.9,0.76,0.94,0.47,0.56,0.7,0.64,0.82,0.63,0.53
f_0,1.98,1.95,2.75,2.16,1.98,1.87,0.99,0.94,0.6,0.74,0.68,0.54,0.56,0.75,0.86,0.47
h_0,2.26,2.19,2.3,2.45,2.12,1.75,1.26,0.81,1.18,0.74,0.76,0.85,0.74,0.64,0.62,0.67
a_0,2.15,2.32,2.23,2.46,3.18,2.29,1.01,0.83,1.16,0.74,0.51,0.8,0.75,0.56,0.75,0.64
e_0,2.38,2.35,3.26,2.43,2.52,2.03,1.32,0.97,0.98,0.82,0.86,0.5,0.76,0.8,0.53,0.64
g_0,2.32,2.47,2.46,2.38,2.29,1.98,0.98,0.96,1.12,1.03,0.89,0.9,0.55,0.91,0.7,0.8
