,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.82,0.95,1.14,0.94,0.81,0.72,0.72,0.84,0.61,0.64,0.65,0.61,0.62,0.54,0.6
f_1,1.22,1.0,0.91,0.98,0.88,0.77,0.6,0.68,0.68,0.63,0.65,0.55,0.55,0.49,0.49,0.51
d_1,1.03,1.09,1.0,0.91,0.93,0.82,0.7,0.59,0.65,0.85,0.74,0.62,0.62,0.61,0.57,0.48
c_1,0.89,1.03,1.09,1.0,1.29,0.89,0.74,0.7,0.51,0.55,0.54,0.62,0.6,0.57,0.58,0.55
b_1,1.05,1.13,1.09,0.79,1.0,1.27,0.78,0.73,0.65,0.69,0.64,0.71,0.55,0.66,0.6,0.64
a_1,1.26,1.28,1.19,1.13,0.79,1.0,0.98,0.88,0.77,0.84,0.83,0.68,0.77,0.77,0.74,0.73
h_1,1.39,1.65,1.47,1.4,1.31,1.04,1.0,1.06,0.9,0.9,0.9,0.87,0.82,0.85,0.79,0.9
g_1,1.39,1.45,1.69,1.43,1.32,1.13,0.92,1.0,1.0,0.98,0.95,1.04,0.89,0.92,0.82,0.76
d_0,1.2,1.43,1.56,1.93,1.62,1.31,1.1,1.05,1.0,0.83,0.94,0.92,0.93,0.96,0.92,0.92
c_0,1.57,1.61,1.19,1.75,1.5,1.2,1.12,1.01,1.21,1.0,1.35,0.94,1.13,0.99,0.88,0.83
b_0,1.56,1.6,1.33,1.79,1.55,1.14,1.13,1.06,1.1,0.75,1.0,0.95,1.23,0.99,0.9,0.89
f_0,1.51,1.85,1.62,1.64,1.44,1.42,1.08,0.94,1.19,1.09,0.99,1.0,1.06,1.12,1.25,0.81
a_0,1.69,1.86,1.61,1.61,1.66,1.32,1.16,1.08,1.05,0.94,0.86,0.94,1.0,1.1,1.05,0.94
h_0,1.66,1.98,1.65,1.7,1.47,1.27,1.16,1.09,1.05,1.01,1.07,0.89,0.9,1.0,1.01,0.97
e_0,1.84,2.09,1.71,1.66,1.64,1.38,1.23,1.14,1.13,1.03,1.08,0.74,0.99,0.96,1.0,0.91
g_0,1.8,1.9,2.04,1.8,1.55,1.34,1.13,1.25,1.08,1.14,1.15,1.24,1.01,0.99,1.09,1.0
