,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,1.05,1.05,1.15,1.25,1.07,0.26,0.38,0.22,0.28,0.25,0.35,0.13,0.25,0.23,0.19
d_1,1.25,0.42,1.37,1.29,1.11,1.08,0.32,0.21,0.22,0.39,0.21,0.22,0.14,0.22,0.24,0.1
e_1,0.69,1.33,0.41,1.28,1.37,1.37,0.35,0.43,0.27,0.29,0.28,0.34,0.19,0.25,0.35,0.2
c_1,1.2,1.48,0.97,0.41,1.35,1.16,0.31,0.38,0.33,0.15,0.23,0.22,0.21,0.22,0.26,0.19
b_1,1.42,1.45,1.42,0.72,0.38,1.23,0.51,0.37,0.43,0.29,0.51,0.28,0.21,0.31,0.29,0.22
a_1,1.93,1.66,1.77,1.71,0.77,0.32,0.46,0.49,0.4,0.37,0.46,0.35,0.27,0.56,0.3,0.23
h_1,2.49,2.18,2.1,2.14,2.45,1.71,0.29,0.67,0.5,0.49,0.47,0.47,0.54,0.54,0.43,0.34
g_1,2.6,2.2,2.3,2.61,2.56,2.11,0.53,0.28,0.47,0.5,0.49,0.49,0.24,0.47,0.43,0.46
c_0,2.69,1.42,2.47,4.75,2.95,2.29,0.75,0.67,0.32,0.69,0.45,0.47,0.33,0.51,0.44,0.33
d_0,2.08,4.0,1.37,2.55,2.46,2.66,0.77,0.81,0.55,0.33,0.57,0.5,0.37,0.5,0.46,0.43
b_0,2.64,2.03,2.43,3.65,3.95,2.35,0.7,0.68,0.31,0.5,0.3,0.45,0.38,0.58,0.44,0.32
f_0,3.37,2.51,2.5,2.83,2.48,2.25,0.82,0.49,0.52,0.58,0.53,0.31,0.39,0.52,0.53,0.22
h_0,2.95,2.91,2.69,2.91,2.92,2.57,1.04,0.89,0.53,0.61,0.58,0.53,0.52,0.58,0.55,0.39
a_0,2.98,2.46,2.95,3.03,3.85,4.53,0.81,0.84,0.49,0.6,0.35,0.54,0.46,0.29,0.48,0.47
e_0,4.09,2.55,4.0,3.44,2.89,2.62,0.89,0.7,0.63,0.65,0.59,0.29,0.46,0.53,0.29,0.37
g_0,3.54,3.73,3.21,3.4,2.94,2.76,0.69,1.07,0.66,0.74,0.68,0.65,0.37,0.79,0.72,0.56
