,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.14,1.05,0.83,0.9,0.87,0.72,0.65,0.84,0.53,0.67,0.59,0.59,0.62,0.57,0.44
f_1,0.87,1.0,1.29,0.99,0.87,0.76,0.62,0.73,0.61,0.72,0.62,0.62,0.52,0.55,0.45,0.56
e_1,0.95,0.78,1.0,1.17,1.06,0.86,0.7,0.97,0.67,0.77,0.62,0.69,0.67,0.61,0.6,0.69
c_1,1.22,1.0,0.85,1.0,1.26,0.78,0.72,0.49,0.6,0.65,0.54,0.6,0.61,0.57,0.62,0.56
b_1,1.12,1.13,0.94,0.81,1.0,1.48,0.8,0.69,0.71,0.68,0.79,0.63,0.64,0.54,0.56,0.56
a_1,1.15,1.33,1.18,1.24,0.67,1.0,0.84,0.69,0.75,0.82,0.88,0.82,0.73,0.73,0.71,0.68
h_1,1.39,1.66,1.41,1.4,1.26,1.15,1.0,0.86,0.87,1.11,0.85,0.9,0.83,0.66,0.83,0.97
d_0,1.53,1.34,1.03,2.05,1.5,1.36,1.18,1.0,0.83,1.11,1.01,1.04,0.97,0.84,0.88,1.04
c_0,1.22,1.65,1.5,1.62,1.38,1.24,1.16,1.2,1.0,1.09,1.25,0.95,0.96,0.96,0.87,0.87
g_1,1.82,1.39,1.25,1.59,1.48,1.19,0.92,0.88,0.93,1.0,0.96,1.18,0.77,0.7,0.88,0.85
b_0,1.49,1.74,1.51,1.85,1.35,1.09,1.15,0.97,0.8,1.03,1.0,0.93,1.0,1.22,1.0,0.88
f_0,1.71,1.67,1.45,1.62,1.62,1.21,1.08,0.98,1.03,0.9,1.07,1.0,1.03,0.95,1.33,0.75
h_0,1.77,1.91,1.49,1.68,1.57,1.31,1.23,1.06,1.03,1.35,1.03,1.01,1.0,0.93,0.87,1.1
a_0,1.6,1.84,1.64,1.73,1.87,1.29,1.46,1.13,1.03,1.41,0.89,1.03,1.06,1.0,1.02,0.96
e_0,1.74,2.2,1.71,1.64,1.78,1.31,1.14,1.18,1.17,1.09,1.05,0.81,1.17,1.01,1.0,0.99
g_0,2.24,1.7,1.51,1.87,1.78,1.54,1.1,1.0,1.2,1.18,1.12,1.33,0.91,1.06,1.03,1.0
