,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.04,1.54,1.47,1.36,1.44,1.17,0.45,0.45,0.45,0.52,0.39,0.39,0.34,0.26,0.3,0.33
c_1,1.6,1.04,1.3,1.78,1.88,1.28,0.51,0.33,0.49,0.59,0.37,0.4,0.38,0.35,0.38,0.33
e_1,1.29,1.77,1.04,1.64,1.44,1.31,0.62,0.61,0.48,0.59,0.48,0.54,0.39,0.38,0.48,0.41
b_1,1.91,1.2,1.63,1.05,1.74,1.8,0.69,0.45,0.62,0.65,0.58,0.48,0.45,0.38,0.42,0.37
d_1,1.76,1.62,1.96,1.59,1.05,1.42,0.62,0.67,0.57,0.42,0.53,0.49,0.52,0.37,0.4,0.27
a_1,2.52,2.41,2.66,1.45,2.27,1.06,0.96,0.9,0.71,0.93,0.77,0.64,0.75,0.53,0.6,0.51
h_1,4.87,5.14,4.09,4.35,4.33,3.55,1.25,1.43,1.41,1.89,1.25,1.24,1.12,1.28,1.06,0.97
d_0,5.32,5.96,3.39,5.39,5.51,4.04,1.93,1.33,1.45,1.8,1.24,1.36,1.19,1.07,1.42,1.06
c_0,5.72,7.34,5.49,5.16,3.55,4.29,2.11,2.27,1.3,1.65,1.67,1.44,1.75,1.26,1.45,0.99
g_1,5.17,5.35,5.23,4.85,5.7,3.98,1.51,1.68,1.73,1.27,1.46,1.58,1.29,0.96,1.39,1.21
b_0,6.18,8.5,5.83,7.1,5.11,4.99,2.38,2.39,1.29,1.99,1.36,1.66,1.81,1.31,1.49,1.18
f_0,8.56,7.24,6.31,6.12,5.14,5.1,2.37,2.0,1.86,1.7,1.84,1.39,1.77,1.53,1.82,0.98
a_0,7.81,8.92,7.38,9.27,6.46,7.1,3.06,2.61,1.81,2.75,1.35,2.12,1.43,1.73,1.84,1.55
h_0,7.93,7.9,7.23,7.9,7.58,6.14,2.88,2.2,2.11,2.53,2.0,1.96,1.84,1.81,1.76,1.55
e_0,11.05,8.56,11.05,7.5,7.76,6.74,3.36,2.48,2.48,2.72,2.48,1.45,2.19,1.89,1.47,1.4
g_0,8.74,8.72,8.03,8.44,8.65,6.82,2.82,2.71,2.57,3.39,2.37,2.57,2.44,1.61,2.17,1.92
