,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.71,1.16,0.55,0.52,0.56,0.52,0.81,0.72,0.78,0.9,0.99,0.31,0.99,0.7,0.65,0.78
e_1,0.72,2.75,0.53,0.71,0.55,0.61,0.96,0.75,1.65,0.93,0.87,0.95,0.84,1.01,0.43,0.97
d_1,0.69,0.54,3.09,0.51,0.55,0.54,0.93,0.93,0.41,1.79,1.24,1.05,1.06,1.05,1.2,1.11
c_1,0.59,0.51,0.57,3.13,1.13,0.54,0.85,1.02,0.89,0.26,0.65,0.86,0.92,0.86,0.95,0.82
b_1,0.56,0.53,0.62,0.71,3.43,1.19,0.82,0.8,0.92,0.83,0.42,1.08,1.08,0.77,0.9,0.85
a_1,0.69,0.57,0.75,0.7,0.46,5.13,0.93,0.85,0.99,0.86,0.91,1.09,0.99,0.52,1.05,1.0
h_1,1.03,0.7,0.88,0.69,0.68,0.55,3.02,1.45,1.05,1.21,1.13,1.22,0.6,0.92,1.28,1.54
g_1,0.54,0.49,1.38,0.76,0.83,0.49,1.12,3.68,0.81,1.07,1.2,1.82,1.0,1.21,1.39,0.72
d_0,0.79,0.64,0.37,1.47,0.77,0.75,1.18,0.98,2.2,0.77,0.96,1.24,1.07,1.17,1.12,1.16
c_0,0.86,0.78,0.95,0.44,0.55,0.62,1.06,1.32,1.03,2.39,2.41,1.13,1.4,1.59,1.18,1.42
b_0,0.75,0.87,0.91,0.73,0.34,0.57,1.01,1.19,1.22,1.2,2.76,1.13,1.21,2.83,1.1,1.43
f_0,0.35,0.56,0.94,0.94,0.82,0.84,1.24,1.28,1.1,0.98,1.15,3.09,1.27,1.41,2.8,1.59
h_0,1.06,0.7,0.86,0.7,0.69,0.69,0.66,1.64,0.96,1.02,1.2,1.26,0.69,0.99,1.29,1.66
a_0,0.82,0.71,0.82,0.77,0.89,0.46,1.29,1.09,1.31,1.09,1.34,1.18,1.4,3.35,1.43,1.39
e_0,0.84,0.34,0.79,0.81,0.93,0.78,1.38,1.44,0.89,1.22,1.19,1.28,1.46,1.24,3.81,1.16
g_0,0.67,0.7,1.17,0.82,0.6,0.68,1.05,0.86,0.96,1.03,1.49,1.93,1.35,1.24,1.48,0.72
