,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.89,0.2,0.18,0.19,0.15,0.1,0.18,0.16,0.18,0.28,0.13,0.14,0.11,0.16,0.04,0.12
f_1,0.38,0.89,0.16,0.17,0.12,0.1,0.15,0.12,0.14,0.15,0.05,0.13,0.11,0.15,0.07,0.11
d_1,0.17,0.19,0.89,0.12,0.15,0.11,0.18,0.15,0.33,0.08,0.16,0.17,0.11,0.12,0.12,0.13
c_1,0.19,0.17,0.18,0.88,0.28,0.09,0.18,0.14,0.04,0.15,0.15,0.1,0.11,0.13,0.09,0.12
b_1,0.18,0.22,0.17,0.17,0.88,0.19,0.17,0.15,0.13,0.14,0.14,0.06,0.07,0.18,0.08,0.12
a_1,0.24,0.19,0.19,0.13,0.13,0.88,0.17,0.14,0.16,0.16,0.15,0.14,0.05,0.19,0.13,0.13
h_1,0.21,0.35,0.23,0.2,0.16,0.12,0.55,0.23,0.19,0.17,0.15,0.2,0.14,0.13,0.13,0.21
g_1,0.22,0.21,0.35,0.23,0.18,0.1,0.16,0.56,0.18,0.15,0.25,0.17,0.12,0.22,0.09,0.11
c_0,0.2,0.27,0.32,0.13,0.12,0.13,0.22,0.18,0.42,0.18,0.19,0.41,0.16,0.23,0.16,0.2
d_0,0.24,0.26,0.12,0.38,0.17,0.09,0.21,0.2,0.17,0.4,0.17,0.18,0.16,0.23,0.14,0.15
f_0,0.19,0.13,0.29,0.24,0.15,0.12,0.22,0.18,0.23,0.24,0.44,0.19,0.14,0.2,0.32,0.19
b_0,0.2,0.27,0.27,0.25,0.07,0.1,0.22,0.19,0.2,0.21,0.22,0.43,0.29,0.21,0.15,0.2
a_0,0.22,0.32,0.28,0.2,0.15,0.05,0.24,0.18,0.2,0.2,0.18,0.17,0.42,0.21,0.13,0.18
h_0,0.24,0.37,0.28,0.16,0.15,0.13,0.12,0.26,0.2,0.17,0.16,0.16,0.12,0.12,0.1,0.21
e_0,0.13,0.28,0.25,0.21,0.22,0.12,0.21,0.18,0.22,0.21,0.2,0.23,0.18,0.22,0.4,0.16
g_0,0.23,0.19,0.41,0.21,0.16,0.1,0.19,0.11,0.19,0.17,0.28,0.2,0.14,0.21,0.14,0.12
