,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.29,0.63,0.75,0.43,0.48,0.39,1.02,2.35,0.98,1.18,1.25,1.04,1.45,1.08,1.36,0.52
f_1,1.01,2.35,0.52,0.51,0.47,0.44,0.96,1.0,0.71,1.11,0.48,0.97,1.26,0.77,1.12,0.64
c_1,0.56,0.53,2.43,0.54,0.94,0.43,0.92,1.19,0.84,0.43,1.17,0.78,1.55,0.88,1.34,0.92
d_1,0.53,0.7,0.43,2.47,0.49,0.41,1.17,0.63,1.02,2.23,1.18,1.3,1.67,0.85,1.63,0.89
b_1,0.53,0.52,0.53,0.55,2.56,1.0,1.05,0.99,0.99,1.0,1.25,0.58,1.49,0.78,1.08,0.84
a_1,0.53,0.57,0.58,0.72,0.56,2.97,1.0,1.14,1.03,1.08,1.29,1.11,1.37,0.46,1.21,1.2
h_1,0.62,0.96,0.71,0.76,0.58,0.53,2.99,1.23,1.54,1.27,1.36,1.18,1.12,1.27,1.93,1.19
d_0,0.74,0.66,1.48,0.34,0.67,0.43,1.32,2.6,0.99,0.82,1.38,1.27,1.66,1.25,1.51,1.25
g_1,0.69,0.64,0.72,1.07,0.52,0.5,1.36,1.32,3.33,1.29,2.13,1.13,1.68,1.09,0.95,1.05
c_0,0.83,0.81,0.39,0.81,0.52,0.47,1.58,1.6,1.24,2.83,1.58,2.75,1.79,1.32,1.7,1.19
f_0,0.62,0.54,0.8,0.75,0.74,0.46,1.54,1.48,1.27,1.44,2.76,1.59,1.91,1.31,1.71,2.43
b_0,0.8,0.84,0.66,0.63,0.37,0.34,1.58,1.9,1.22,1.64,1.38,3.18,1.92,2.73,1.55,1.28
h_0,0.66,1.02,0.6,0.75,0.68,0.48,0.99,1.32,1.46,1.49,1.24,1.4,1.18,1.2,2.17,1.1
a_0,0.8,0.75,0.79,0.66,0.66,0.3,1.47,1.63,1.05,1.35,1.39,1.57,1.84,3.27,1.56,1.32
g_0,0.66,0.61,0.58,1.09,0.68,0.42,1.41,1.35,0.83,1.53,2.27,1.47,1.58,1.09,1.27,1.44
e_0,0.51,0.73,0.81,0.82,0.76,0.41,1.55,1.46,1.36,1.53,1.21,1.39,2.03,1.38,1.81,3.27
