,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.96,0.9,0.59,0.61,0.48,0.34,0.39,0.39,0.35,0.35,0.28,0.33,0.25,0.32,0.21,0.29
e_1,0.61,0.96,0.52,0.76,0.57,0.38,0.45,0.61,0.37,0.35,0.36,0.36,0.28,0.34,0.26,0.29
d_1,0.73,0.71,0.96,0.5,0.5,0.43,0.46,0.35,0.32,0.59,0.38,0.4,0.3,0.34,0.29,0.29
c_1,0.65,0.55,0.68,0.96,0.86,0.45,0.41,0.36,0.35,0.29,0.37,0.28,0.28,0.33,0.29,0.31
b_1,0.73,0.63,0.65,0.52,0.95,0.74,0.44,0.37,0.36,0.37,0.38,0.29,0.26,0.36,0.29,0.32
a_1,0.87,0.82,0.75,0.69,0.52,0.94,0.56,0.49,0.44,0.48,0.43,0.5,0.34,0.42,0.31,0.34
h_1,1.11,0.95,0.96,0.88,0.79,0.53,0.81,0.54,0.62,0.54,0.52,0.49,0.38,0.44,0.39,0.52
d_0,1.02,0.82,0.9,1.41,1.0,0.57,0.7,0.73,0.55,0.47,0.49,0.55,0.43,0.55,0.44,0.48
g_1,0.98,0.96,1.33,0.9,0.8,0.58,0.64,0.57,0.8,0.59,0.69,0.56,0.46,0.51,0.49,0.46
c_0,1.18,1.04,0.96,0.85,0.78,0.58,0.78,0.61,0.6,0.74,0.59,0.83,0.58,0.58,0.48,0.51
f_0,0.95,0.98,1.08,1.07,0.96,0.69,0.77,0.68,0.59,0.62,0.73,0.64,0.54,0.55,0.79,0.45
b_0,1.1,1.11,1.05,1.04,0.9,0.48,0.77,0.63,0.57,0.59,0.59,0.74,0.81,0.6,0.47,0.49
a_0,1.26,1.15,1.14,1.05,1.03,0.6,0.87,0.73,0.61,0.71,0.63,0.57,0.69,0.69,0.56,0.58
h_0,1.44,1.15,1.17,1.13,0.93,0.68,0.71,0.64,0.7,0.65,0.58,0.63,0.46,0.53,0.49,0.62
e_0,1.23,0.85,1.12,1.27,1.11,0.76,0.8,0.66,0.67,0.66,0.58,0.65,0.53,0.67,0.69,0.52
g_0,1.17,1.13,1.5,1.13,0.92,0.75,0.81,0.69,0.54,0.71,0.98,0.69,0.55,0.59,0.64,0.52
