,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.67,0.82,0.92,1.18,0.82,1.0,1.27,1.04,0.98,0.9,1.08,1.22,1.19,,1.24
f_1,1.5,1.0,0.85,1.13,0.71,0.79,0.86,0.93,0.99,0.91,1.15,,0.9,1.04,0.97,1.41
d_1,1.22,1.18,1.0,0.75,1.22,1.05,1.1,,1.18,0.73,0.94,1.16,0.95,1.18,0.79,0.74
c_1,1.09,0.89,1.33,1.0,1.37,0.97,0.91,0.69,,1.02,1.02,0.93,1.21,0.88,1.04,0.96
b_1,0.85,1.41,0.82,0.73,1.0,1.68,1.02,1.11,1.04,1.32,,1.0,0.87,,0.9,0.77
a_1,1.21,1.27,0.95,1.03,0.59,1.0,1.41,1.11,0.67,0.92,0.91,,1.0,,1.35,
h_1,1.0,1.16,0.91,1.1,0.98,0.71,1.0,1.02,0.89,1.23,0.95,1.0,,0.76,1.11,1.17
d_0,0.79,1.08,,1.45,0.9,0.9,0.98,1.0,1.18,0.93,0.86,1.2,0.93,1.02,0.9,0.96
c_0,0.96,1.01,0.85,,0.96,1.5,1.12,0.85,1.0,1.12,1.29,0.84,1.06,0.81,0.84,1.02
g_1,1.02,1.1,1.36,0.98,0.76,1.09,0.81,1.08,0.89,1.0,0.98,1.14,0.91,0.88,0.95,
b_0,1.11,0.87,1.07,0.98,,1.1,1.06,1.17,0.77,1.02,1.0,0.91,1.07,,0.87,0.77
f_0,0.93,,0.86,1.08,1.0,,1.0,0.83,1.19,0.88,1.1,1.0,0.93,0.84,1.69,0.8
h_0,0.82,1.11,1.05,0.83,1.15,1.0,,1.08,0.95,1.1,0.93,1.08,,0.91,0.87,1.26
a_0,0.84,0.96,0.85,1.13,,,1.32,0.98,1.24,1.13,,1.2,1.1,1.0,,1.13
e_0,,1.03,1.27,0.96,1.11,0.74,0.9,1.11,1.19,1.06,1.15,0.59,1.15,,1.0,0.96
g_0,0.8,0.71,1.35,1.05,1.29,,0.85,1.05,0.98,,1.31,1.25,0.79,0.89,1.04,
