,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.81,0.96,1.09,0.88,0.88,0.73,0.88,0.67,0.7,0.68,0.76,0.6,0.6,0.63,0.62
f_1,1.25,1.0,0.94,0.92,0.87,0.75,0.6,0.66,0.62,0.72,0.57,0.59,0.5,0.54,0.57,0.43
d_1,1.04,1.06,1.0,0.9,0.91,0.73,0.68,0.72,0.81,0.55,0.68,0.59,0.59,0.57,0.49,0.56
c_1,0.9,1.08,1.12,1.0,1.18,0.88,0.74,0.5,0.54,0.62,0.56,0.6,0.59,0.55,0.6,0.58
b_1,1.14,1.16,1.12,0.85,1.0,1.2,0.83,0.72,0.77,0.74,0.64,0.62,0.67,0.59,0.57,0.59
a_1,1.15,1.37,1.34,1.15,0.85,1.0,1.0,0.76,0.84,0.88,0.96,0.71,0.81,0.71,0.71,0.62
h_1,1.4,1.59,1.41,1.39,1.21,0.99,1.0,0.85,0.86,1.13,0.9,0.82,0.86,0.77,0.94,0.74
d_0,1.19,1.41,1.42,2.09,1.43,1.26,1.14,1.0,0.87,1.08,1.02,1.0,0.99,0.82,0.91,0.86
c_0,1.52,1.6,1.22,1.85,1.28,1.1,1.14,1.1,1.0,0.97,1.31,0.98,1.0,1.0,0.95,0.86
g_1,1.4,1.4,1.79,1.57,1.38,1.23,0.9,0.92,1.01,1.0,0.95,1.01,0.79,0.83,0.92,0.89
b_0,1.43,1.68,1.4,1.79,1.68,1.04,1.14,1.05,0.75,1.08,1.0,0.97,0.99,1.17,0.89,0.86
f_0,1.31,1.66,1.64,1.7,1.59,1.47,1.25,1.07,1.04,0.95,1.02,1.0,1.07,0.95,0.81,1.34
h_0,1.67,1.98,1.73,1.7,1.51,1.31,1.15,1.07,1.0,1.25,1.01,0.93,1.0,0.98,1.09,0.88
a_0,1.61,1.78,1.74,1.72,1.81,1.43,1.29,1.16,1.07,1.15,0.89,1.08,1.05,1.0,1.15,0.99
g_0,1.64,1.74,2.06,1.65,1.71,1.44,1.05,1.08,1.02,1.09,1.12,1.24,0.96,0.85,1.0,1.05
e_0,1.51,2.19,1.78,1.88,1.62,1.65,1.34,1.18,1.13,1.16,1.12,0.76,1.16,0.97,0.95,1.0
