,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.41,0.54,0.9,1.15,0.95,0.9,0.46,0.58,0.48,0.41,0.48,0.4,0.32,0.66,0.43,0.44
f_1,1.01,0.4,0.74,0.84,0.84,0.79,0.4,0.58,0.4,0.38,0.63,0.4,0.28,0.38,0.32,0.35
d_1,0.95,0.95,0.39,0.9,0.8,0.82,0.47,0.33,0.79,0.39,0.37,0.43,0.34,0.41,0.27,0.39
c_1,0.73,1.02,1.05,0.39,1.01,0.92,0.47,0.42,0.24,0.43,0.35,0.35,0.32,0.35,0.33,0.34
b_1,0.81,0.93,0.97,0.59,0.38,1.04,0.52,0.51,0.41,0.48,0.36,0.56,0.42,0.42,0.38,0.51
a_1,0.97,1.14,0.95,0.83,0.55,0.31,0.48,0.61,0.43,0.47,0.43,0.42,0.38,0.37,0.32,0.51
h_1,0.77,0.8,0.74,0.77,0.83,0.68,0.25,0.43,0.35,0.34,0.35,0.37,0.41,0.29,0.3,0.31
g_1,0.79,0.82,0.83,0.84,0.82,0.66,0.36,0.23,0.33,0.32,0.43,0.37,0.24,0.34,0.34,0.29
d_0,0.5,0.93,0.97,0.9,0.77,0.77,0.48,0.45,0.25,0.33,0.38,0.35,0.31,0.36,0.33,0.38
c_0,0.78,0.82,0.52,1.48,0.8,0.65,0.4,0.49,0.43,0.25,0.4,0.42,0.33,0.38,0.31,0.36
f_0,0.65,1.21,0.77,0.78,0.98,0.65,0.44,0.28,0.34,0.3,0.24,0.33,0.29,0.46,0.2,0.36
b_0,0.74,0.75,0.63,0.99,1.27,0.8,0.42,0.38,0.43,0.2,0.37,0.23,0.32,0.39,0.32,0.37
h_0,0.74,0.8,0.85,0.78,0.67,0.8,0.54,0.42,0.32,0.31,0.4,0.31,0.37,0.32,0.35,0.31
e_0,0.94,1.05,0.76,0.79,0.71,0.85,0.47,0.38,0.41,0.35,0.19,0.31,0.32,0.19,0.27,0.27
g_0,0.73,0.92,0.74,0.87,0.82,0.72,0.31,0.59,0.36,0.34,0.39,0.32,0.23,0.4,0.35,0.34
a_0,0.76,0.81,0.76,0.81,0.92,0.9,0.46,0.48,0.35,0.3,0.33,0.22,0.32,0.38,0.35,0.2
