,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.34,0.98,0.76,0.99,0.73,0.66,1.33,3.0,1.62,1.39,1.56,1.53,2.23,1.25,1.88,0.78
f_1,1.45,2.4,0.83,0.73,0.7,0.49,1.48,1.84,1.63,1.5,1.66,0.98,2.02,1.21,1.77,1.05
d_1,0.89,0.96,2.42,0.74,0.7,0.62,1.62,0.96,3.03,1.22,2.04,1.61,1.97,1.48,2.18,1.38
c_1,0.79,0.84,0.76,2.48,1.4,0.66,1.29,1.78,1.04,1.19,1.13,1.41,2.11,1.1,1.89,1.49
b_1,0.79,0.74,0.91,0.87,2.57,1.35,1.55,1.64,1.47,1.2,1.14,1.53,1.94,1.2,1.95,1.47
a_1,0.73,0.87,0.83,0.95,0.81,3.07,1.87,1.75,1.79,1.37,1.78,1.85,2.29,1.3,1.8,1.59
h_1,0.84,1.24,1.07,0.85,0.8,0.56,3.32,1.86,1.97,2.13,1.86,1.59,1.33,1.56,2.63,1.62
d_0,0.82,0.96,0.66,1.55,0.93,0.68,1.63,2.96,1.24,1.75,1.64,1.66,2.41,1.21,2.13,1.69
c_0,0.88,0.98,1.08,0.71,0.77,0.74,1.93,1.83,3.03,1.7,3.56,1.93,2.09,2.23,2.33,1.82
g_1,0.94,0.97,1.25,0.84,0.72,0.52,1.7,1.89,1.88,3.57,1.89,2.61,1.86,1.43,1.69,1.9
b_0,1.03,1.05,0.93,0.88,0.63,0.59,1.71,1.75,2.01,1.82,3.23,1.89,2.73,3.38,2.14,1.69
f_0,0.78,0.86,0.97,0.96,0.92,0.77,2.11,1.88,1.93,1.59,2.08,3.43,2.29,1.94,2.52,3.49
h_0,0.92,1.34,0.98,0.84,0.85,0.67,1.23,1.83,1.86,2.07,1.65,1.67,1.85,1.63,2.85,1.31
a_0,1.01,0.97,1.05,1.0,0.95,0.47,1.97,1.77,1.89,1.96,2.0,1.64,2.42,3.75,2.58,1.52
g_0,0.84,0.73,1.6,0.91,0.84,0.51,1.58,1.56,2.03,1.18,1.87,2.61,2.14,1.41,1.54,1.49
e_0,0.71,1.03,1.14,0.85,0.81,0.8,2.04,1.49,2.15,1.95,1.86,1.96,2.75,1.69,2.68,3.48
