,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,113.79,19.96,16.23,17.49,25.16,48.71,1933.99,3294.64,3370.65,3214.7,5066.81,,14332.45,19116.06,21582.73,39174.42
e_1,10.39,115.08,17.16,15.14,21.85,54.02,1692.9,2879.57,5376.01,3484.12,4249.57,8179.1,14936.84,24801.28,,46595.33
d_1,13.46,9.5,148.68,12.74,19.45,49.5,1574.46,4775.17,,2744.28,4278.56,6781.11,13035.95,21626.07,19437.56,32178.16
c_1,12.22,12.55,16.87,155.93,34.8,45.81,1244.72,,3033.83,3005.56,3073.68,6862.1,15024.42,20875.07,19767.25,29528.24
b_1,11.93,11.61,15.32,9.91,184.45,76.39,1364.69,2511.29,3589.57,3231.7,,5351.77,9685.58,21486.53,13525.2,33942.92
a_1,9.49,7.02,9.07,11.88,11.72,399.22,1383.26,2130.62,2108.65,1603.18,2567.79,3743.98,,14304.58,14733.17,27201.07
h_1,6.68,6.98,6.34,9.67,9.14,20.59,3031.01,1769.81,1723.42,1536.11,1987.3,3738.1,7654.46,,9888.24,21834.77
c_0,6.24,6.42,7.99,,10.89,24.57,692.5,3688.06,1245.34,1661.61,3238.89,2652.71,6641.28,12612.9,10492.09,17904.78
d_0,5.99,5.96,,13.71,9.01,22.72,771.67,1592.73,3979.29,1276.38,2021.13,3785.18,6129.49,7533.65,12413.68,14532.06
g_1,4.23,4.42,9.06,7.69,7.57,25.04,527.76,1158.6,1336.07,4937.31,1563.63,3645.36,6282.82,10955.32,,
b_0,5.03,4.99,8.02,8.69,,23.89,832.54,1237.9,1375.05,1541.34,4753.5,2714.6,11216.72,8518.57,7431.19,17368.99
f_0,,3.2,6.07,7.35,9.38,25.49,608.93,1145.94,1129.44,1091.26,1536.39,6929.8,6788.05,8027.08,13861.05,13990.6
a_0,3.74,3.33,4.59,3.8,7.21,,636.09,978.4,1088.34,932.51,823.53,1259.22,13142.76,8188.11,7342.64,
h_0,4.87,4.23,6.23,5.94,5.43,19.19,,1122.99,1444.17,812.83,1595.82,2042.8,4093.19,,6169.64,12822.81
e_0,2.94,,4.03,4.44,7.42,12.34,579.62,737.23,555.71,,1021.85,1490.87,3151.48,8651.21,17689.67,
g_0,2.54,2.95,6.72,6.37,5.26,14.15,552.63,875.04,942.04,,1165.66,2388.92,,5059.51,,
