,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.31,0.86,0.47,0.47,0.37,0.4,0.77,0.78,0.86,0.9,0.97,0.35,0.79,1.08,0.49,0.98
e_1,0.5,2.34,0.36,0.56,0.5,0.35,0.92,0.65,0.99,1.9,1.07,0.83,0.93,1.13,0.35,1.07
d_1,0.58,0.47,2.36,0.4,0.42,0.41,0.95,0.82,1.84,0.33,1.2,1.24,0.9,1.26,0.81,1.15
c_1,0.41,0.51,0.47,2.4,0.93,0.32,0.7,0.56,0.27,0.91,0.61,0.8,0.77,1.18,0.66,1.06
b_1,0.52,0.39,0.57,0.52,2.49,0.59,0.74,0.66,0.86,0.92,0.36,0.91,0.7,1.33,0.91,1.15
a_1,0.58,0.44,0.55,0.49,0.38,3.01,0.87,0.83,1.08,1.08,0.91,0.89,0.29,1.26,0.86,1.29
h_1,0.86,0.51,0.74,0.53,0.48,0.34,3.08,1.29,1.34,1.17,1.15,1.0,0.86,0.78,0.97,1.77
g_1,0.63,0.45,0.98,0.62,0.45,0.4,0.89,3.39,0.93,0.94,1.23,1.8,0.89,1.43,1.21,0.68
c_0,0.68,0.56,0.7,0.31,0.39,0.53,1.33,1.21,2.72,1.17,2.46,1.28,1.48,1.68,1.0,1.39
d_0,0.62,0.58,0.27,1.11,0.57,0.49,1.39,0.91,0.82,2.63,1.07,1.07,0.96,1.51,0.79,1.21
b_0,0.74,0.6,0.72,0.64,0.25,0.33,1.12,1.05,1.32,1.25,2.78,1.34,2.36,1.74,0.86,1.27
f_0,0.39,0.54,0.7,0.65,0.51,0.5,1.18,1.28,1.35,1.15,1.23,2.76,1.22,1.75,2.08,1.28
a_0,0.68,0.47,0.8,0.61,0.6,0.22,1.31,1.09,1.23,1.1,1.22,1.14,2.95,1.79,1.07,1.35
h_0,0.97,0.54,0.73,0.51,0.45,0.5,0.63,1.55,1.21,1.19,1.35,0.99,1.0,0.86,1.1,1.66
e_0,0.68,0.22,0.75,0.76,0.43,0.47,1.38,1.26,1.08,1.31,1.28,1.3,1.1,1.48,3.44,1.68
g_0,0.52,0.51,1.1,0.58,0.51,0.48,1.25,0.59,1.17,0.89,1.35,1.75,1.07,1.26,1.1,0.78
