,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,1.03,0.87,1.29,1.51,2.63,18.15,39.66,26.91,35.91,36.21,46.73,67.19,120.25,104.82,131.63
d_1,0.97,1.0,1.09,1.01,1.4,2.98,16.99,28.82,33.46,22.36,37.12,39.41,66.09,68.83,104.52,111.44
f_1,1.16,0.92,1.0,1.1,1.21,3.11,13.99,21.24,23.36,27.8,29.35,36.05,58.86,96.03,80.83,108.38
c_1,0.78,0.99,0.92,1.0,2.17,2.67,17.26,15.83,21.61,25.06,26.82,40.56,61.09,78.83,82.96,88.79
b_1,0.65,0.71,0.83,0.45,1.0,3.72,11.55,16.3,17.68,19.77,21.09,25.0,48.46,63.32,56.14,62.14
a_1,0.38,0.33,0.33,0.38,0.27,1.0,6.3,8.58,8.26,11.2,13.26,15.05,21.57,30.61,26.57,35.5
h_1,0.06,0.06,0.07,0.06,0.08,0.16,1.0,1.31,1.43,1.8,1.79,2.16,3.72,5.49,4.84,6.36
d_0,0.03,0.03,0.04,0.06,0.06,0.11,0.78,1.0,0.82,1.21,1.43,1.5,2.54,3.57,3.59,4.34
c_0,0.04,0.03,0.04,0.04,0.05,0.11,0.68,1.2,1.0,1.03,1.75,1.67,2.56,3.64,3.85,4.36
g_1,0.03,0.05,0.04,0.04,0.05,0.09,0.55,0.85,0.99,1.0,1.38,1.89,1.86,3.02,3.53,3.61
b_0,0.03,0.03,0.04,0.04,0.05,0.08,0.56,0.68,0.57,0.74,1.0,1.19,2.1,2.94,2.42,4.23
f_0,0.02,0.03,0.02,0.03,0.04,0.07,0.44,0.66,0.62,0.52,0.82,1.0,1.65,2.02,2.9,2.54
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.26,0.4,0.38,0.56,0.48,0.63,1.0,1.59,1.13,1.35
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.27,0.27,0.32,0.33,0.52,0.61,1.0,0.96,1.08
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.28,0.3,0.26,0.41,0.35,0.85,1.08,1.0,1.12
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.23,0.24,0.29,0.24,0.39,0.75,0.89,0.9,1.0
