,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.51,1.08,0.66,0.65,0.6,0.47,0.67,0.78,0.62,0.59,0.73,0.49,0.71,0.74,0.85,0.65
e_1,0.63,1.51,0.6,0.91,0.63,0.47,0.91,1.28,0.76,0.85,0.79,0.82,0.8,0.71,0.87,0.49
d_1,0.79,0.72,1.54,0.5,0.62,0.62,0.79,0.57,0.61,1.3,0.87,0.79,0.97,0.64,0.74,0.66
c_1,0.75,0.61,0.73,1.55,1.0,0.55,0.73,0.64,0.79,0.37,0.62,0.82,0.99,0.74,0.7,0.69
b_1,0.72,0.65,0.75,0.66,1.61,0.96,0.82,0.78,0.8,0.84,0.45,0.75,0.82,0.56,0.87,0.71
a_1,0.83,0.79,0.81,0.76,0.54,1.77,1.06,0.94,0.82,0.91,1.05,0.84,1.01,0.57,0.77,0.68
h_1,1.23,0.8,0.89,0.97,0.82,0.62,1.72,1.04,1.2,1.06,0.88,0.82,0.81,0.79,1.38,0.75
d_0,1.0,0.83,0.61,1.59,0.8,0.66,1.15,1.59,0.88,0.99,0.97,1.14,1.24,0.89,1.27,0.93
g_1,1.13,0.84,1.35,0.87,0.76,0.71,0.97,0.94,1.82,1.07,1.07,1.43,1.0,0.77,0.8,0.83
c_0,1.12,1.02,0.91,0.8,0.61,0.71,1.18,1.2,0.88,1.64,1.88,1.04,1.18,1.23,1.27,0.94
b_0,1.06,1.03,1.03,0.99,0.62,0.52,1.41,1.28,1.04,1.03,1.63,1.13,1.19,1.71,1.2,0.91
f_0,0.77,0.88,1.07,0.99,0.98,0.74,1.38,1.25,0.95,1.23,1.27,1.62,1.35,0.98,0.98,1.56
h_0,1.29,0.99,1.03,0.97,1.04,0.75,0.89,1.0,1.45,1.05,1.15,1.03,0.98,0.9,1.45,0.77
a_0,1.12,1.04,1.05,0.98,0.93,0.59,1.26,1.36,1.17,1.08,1.0,1.25,1.45,1.7,1.11,0.93
g_0,0.94,0.87,1.35,1.19,0.94,0.93,1.01,1.07,0.83,1.09,1.22,1.59,1.17,1.0,0.92,0.96
e_0,1.17,0.76,1.1,1.01,0.93,0.82,1.6,1.13,1.13,1.23,1.28,0.94,1.55,1.02,1.06,1.82
