,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,0.42,0.96,0.94,0.83,0.8,0.25,0.25,0.19,0.16,0.15,0.21,0.17,0.11,0.27,0.11
f_1,0.64,0.16,0.79,0.81,0.73,0.69,0.16,0.24,0.16,0.18,0.16,0.41,0.16,0.07,0.13,0.15
c_1,0.67,0.68,0.15,0.89,0.82,0.77,0.28,0.24,0.09,0.16,0.34,0.15,0.14,0.11,0.15,0.12
d_1,0.81,0.9,0.83,0.15,0.81,0.69,0.19,0.13,0.51,0.14,0.14,0.14,0.14,0.1,0.14,0.06
b_1,0.94,0.87,0.42,0.75,0.13,0.83,0.2,0.25,0.15,0.47,0.21,0.14,0.15,0.13,0.18,0.16
a_1,0.68,1.01,0.89,0.8,0.38,0.1,0.31,0.3,0.2,0.23,0.16,0.22,0.5,0.14,0.19,0.13
h_1,0.7,0.79,0.61,0.51,0.58,0.43,0.06,0.18,0.14,0.12,0.13,0.12,0.14,0.17,0.13,0.11
g_1,0.75,0.67,0.59,0.49,0.71,0.58,0.13,0.05,0.16,0.13,0.12,0.13,0.15,0.06,0.13,0.19
d_0,0.36,0.6,0.63,0.92,0.76,0.64,0.18,0.22,0.07,0.15,0.12,0.15,0.13,0.11,0.14,0.1
b_0,0.62,0.63,0.79,0.42,1.68,0.61,0.18,0.18,0.12,0.06,0.07,0.12,0.12,0.09,0.1,0.07
c_0,0.67,0.63,1.66,0.32,0.66,0.67,0.18,0.19,0.19,0.11,0.06,0.13,0.12,0.1,0.13,0.09
f_0,0.66,1.82,0.45,0.54,0.68,0.75,0.2,0.1,0.13,0.11,0.12,0.05,0.12,0.09,0.1,0.05
a_0,0.65,0.65,0.57,0.59,0.89,1.03,0.19,0.24,0.14,0.06,0.1,0.11,0.04,0.09,0.09,0.08
h_0,0.61,0.59,0.61,0.67,0.54,0.55,0.27,0.19,0.12,0.12,0.12,0.13,0.1,0.17,0.09,0.09
e_0,1.15,0.75,0.62,0.49,0.7,0.66,0.13,0.14,0.13,0.13,0.11,0.06,0.12,0.11,0.04,0.09
g_0,0.59,0.65,0.57,0.61,0.57,0.58,0.12,0.29,0.16,0.12,0.12,0.12,0.1,0.07,0.1,0.11
