,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.07,5.7,7.75,8.03,9.37,7.65,2.87,4.33,3.03,2.47,2.29,2.42,2.59,2.03,,2.02
f_1,14.31,1.07,9.99,10.1,9.56,7.19,2.61,3.21,2.42,2.43,,2.96,2.03,1.42,1.84,1.69
c_1,12.63,8.89,1.07,11.4,9.73,7.26,4.16,3.56,1.86,,3.09,2.43,3.14,2.05,2.27,1.73
d_1,11.48,9.45,9.97,1.07,9.65,10.27,4.17,2.44,,2.69,3.82,2.48,2.75,1.92,2.77,1.44
b_1,9.18,9.17,8.2,10.72,1.07,9.65,4.22,4.09,2.76,3.26,3.35,,,2.56,2.01,2.68
a_1,18.52,14.24,15.03,15.6,10.21,1.07,6.05,,4.98,5.55,3.34,4.32,,3.48,,
h_1,14.05,15.96,12.64,12.5,11.29,9.57,1.41,5.53,4.63,4.48,2.81,3.14,3.77,,3.38,2.5
g_1,14.11,16.87,15.38,14.4,16.72,,4.42,1.41,6.04,4.68,4.98,3.56,5.2,2.98,3.92,
d_0,8.01,16.36,16.53,,13.24,12.26,4.54,5.57,1.7,4.37,3.3,5.53,4.54,2.9,3.93,3.24
c_0,18.91,19.93,,13.69,14.67,11.82,5.18,4.93,4.78,1.77,4.91,6.18,3.32,3.52,3.79,5.16
f_0,17.44,,14.79,12.19,14.85,20.16,8.52,4.53,6.55,4.34,1.75,4.75,4.46,5.47,5.14,2.49
b_0,20.46,15.02,17.87,15.78,,16.55,7.3,6.44,6.05,2.77,5.06,1.72,7.08,3.9,5.37,3.18
a_0,22.36,28.05,17.25,17.07,,,8.88,7.23,7.2,6.47,4.86,4.01,1.7,3.57,,4.79
h_0,16.03,17.32,15.42,18.78,17.49,14.32,,6.47,4.89,4.51,4.19,5.92,4.05,,4.15,4.02
e_0,,31.52,29.0,20.16,26.18,,8.01,7.09,7.02,6.99,4.64,5.53,,6.75,1.71,5.22
g_0,22.94,23.09,21.6,24.27,16.01,,7.14,,5.07,5.04,6.71,5.38,4.64,3.85,5.8,
