,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.08,2.16,2.44,2.24,2.26,2.18,0.48,0.51,0.71,0.46,0.48,0.61,0.26,0.44,0.46,0.34
e_1,1.55,1.09,2.72,2.67,2.46,2.26,0.69,0.56,0.76,0.56,0.51,0.63,0.37,0.49,0.76,0.42
c_1,2.78,2.22,1.09,3.08,2.51,2.33,0.74,0.36,0.67,0.64,0.55,0.5,0.41,0.47,0.52,0.36
d_1,2.73,3.3,2.86,1.08,2.94,2.01,0.64,0.76,0.46,0.51,0.54,0.45,0.32,0.47,0.45,0.24
b_1,3.64,2.81,1.74,3.54,1.1,3.31,1.03,0.63,0.9,0.9,1.15,0.65,0.44,0.62,0.62,0.46
a_1,5.45,4.39,3.97,5.01,2.4,1.12,1.69,1.04,1.52,1.0,1.7,1.08,0.75,1.35,0.91,0.67
h_1,9.48,9.05,9.88,10.0,9.56,8.52,1.57,2.14,2.82,2.15,2.04,2.08,1.61,1.69,1.78,1.51
d_0,9.94,7.1,12.17,14.08,11.37,9.52,3.3,1.77,3.12,2.33,2.22,2.11,1.73,2.17,2.23,1.87
g_1,14.35,12.68,12.93,11.63,12.67,9.1,2.86,2.89,1.59,2.61,2.45,2.29,1.5,2.19,2.18,2.2
c_0,13.36,13.7,20.55,7.45,14.03,11.28,3.7,3.82,2.88,1.78,2.41,2.49,1.96,2.36,2.31,1.85
b_0,13.41,14.82,20.55,10.85,20.12,12.31,3.82,3.13,3.64,1.75,1.7,2.94,2.19,2.39,2.15,2.17
f_0,20.15,16.52,16.06,16.72,12.9,12.99,4.01,3.82,2.7,3.27,3.05,1.88,1.96,2.63,2.62,1.53
h_0,16.76,20.12,18.18,16.14,17.12,13.17,5.2,4.28,5.47,3.23,3.54,3.18,3.26,3.14,3.22,2.37
a_0,19.51,19.68,20.18,17.45,22.83,22.98,5.23,4.41,6.22,3.35,2.29,4.04,2.66,2.09,3.68,2.42
e_0,26.53,25.01,19.13,18.56,18.44,19.62,5.48,4.46,4.2,3.74,3.83,2.1,2.79,3.19,2.03,2.72
g_0,23.19,21.83,24.33,22.3,23.02,18.12,4.77,4.97,7.37,4.59,4.42,4.28,2.49,4.32,3.91,3.35
