,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.52,0.89,0.91,0.8,0.67,0.62,0.74,0.63,0.61,0.65,,0.56,0.64,0.49,0.4
e_1,0.66,1.0,1.07,0.95,1.05,1.0,0.57,0.59,0.9,0.78,0.67,0.68,0.56,0.56,0.53,
d_1,1.13,0.94,1.0,0.9,0.95,0.85,0.74,0.6,,0.87,0.66,0.64,0.69,0.55,0.38,0.56
c_1,1.1,1.05,1.11,1.0,1.19,1.15,0.76,0.65,0.47,,0.61,0.7,0.61,0.69,0.6,
b_1,1.25,0.95,1.05,0.84,1.0,0.93,1.08,0.71,0.55,0.78,,0.57,0.68,0.48,0.73,0.73
a_1,1.49,1.0,1.18,0.87,1.08,1.0,0.88,0.72,0.65,0.74,0.8,0.79,0.89,,0.57,
h_1,1.62,1.76,1.35,1.31,0.92,1.14,1.0,1.06,0.99,0.87,0.81,0.64,,0.83,1.14,0.88
g_1,1.35,1.7,1.67,1.54,1.41,1.39,0.94,1.0,1.08,0.79,0.71,1.15,0.85,,,
d_0,1.6,1.12,,2.11,1.82,1.53,1.01,0.92,1.0,1.06,1.09,0.9,0.83,,0.66,1.02
c_0,1.65,1.28,1.15,,1.29,1.34,1.16,1.27,0.95,1.0,1.33,0.89,0.96,1.01,0.92,0.96
b_0,1.55,1.49,1.51,1.65,,1.26,1.23,1.41,0.91,0.75,1.0,1.08,0.86,1.09,0.89,0.91
f_0,,1.48,1.55,1.43,1.76,1.27,1.55,0.87,1.11,1.13,0.93,1.0,0.9,0.91,0.85,
h_0,1.78,1.79,1.44,1.65,1.46,1.12,,1.18,1.21,1.04,1.17,1.12,,1.06,1.06,0.77
a_0,1.57,1.78,1.81,1.45,2.09,,1.21,,,0.99,0.91,1.09,0.94,1.0,1.21,1.02
g_0,2.05,1.88,2.63,1.67,1.37,1.74,0.87,,1.52,1.09,1.13,1.17,0.94,0.83,,0.86
e_0,2.48,,1.79,,1.37,,1.13,,0.98,1.04,1.1,,1.3,0.98,1.17,1.0
