,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.05,0.93,1.15,1.05,1.02,1.07,1.47,0.96,1.06,0.93,0.96,1.11,1.35,1.13
f_1,1.24,1.0,1.05,0.96,0.97,0.84,0.82,1.07,0.91,0.85,0.95,0.95,0.96,0.81,0.73,0.97
c_1,0.95,0.95,1.0,1.06,1.26,0.9,1.05,0.97,0.67,0.9,1.0,0.89,1.02,1.09,1.03,0.92
d_1,1.06,1.04,0.95,1.0,0.9,1.0,1.02,0.82,1.0,1.3,1.06,1.06,1.16,0.99,0.95,0.83
b_1,0.87,1.02,0.8,1.11,1.0,1.35,1.09,1.03,1.07,1.11,1.0,1.33,0.9,1.09,1.01,1.25
a_1,0.95,1.19,1.1,1.01,0.74,1.0,1.13,1.0,1.03,1.11,0.96,1.16,0.92,1.12,1.16,1.0
h_1,1.0,1.17,0.95,1.0,0.96,0.88,1.0,1.21,0.95,0.9,0.92,0.94,0.87,1.0,0.93,1.1
g_1,0.99,0.92,1.01,1.25,0.98,1.01,0.84,1.0,0.87,0.91,1.17,0.9,0.89,0.91,0.99,0.93
d_0,0.69,1.09,1.45,0.98,0.94,0.93,1.05,1.15,1.0,0.84,0.97,1.03,1.01,0.93,0.99,1.15
c_0,1.06,1.23,1.03,0.75,0.92,0.85,1.11,1.09,1.11,1.0,0.97,1.38,0.99,0.99,0.93,1.14
f_0,0.91,1.1,1.07,0.97,0.95,0.94,1.06,0.83,1.03,0.93,1.0,1.06,1.0,1.13,1.51,0.8
b_0,1.1,1.08,1.12,1.01,0.83,0.79,1.03,1.15,0.94,0.71,0.95,1.0,1.46,1.0,0.9,0.99
a_0,1.08,1.02,1.01,0.87,1.08,1.04,1.15,1.11,0.98,0.92,1.0,0.7,1.0,0.97,1.11,0.92
h_0,0.9,1.22,0.95,0.95,0.93,0.89,1.03,1.14,1.11,1.04,0.85,0.94,1.03,1.0,0.95,1.12
e_0,0.81,1.44,0.93,0.99,0.95,0.99,1.08,0.95,0.99,1.05,0.67,1.07,0.85,1.12,1.01,0.92
g_0,0.89,1.03,1.09,1.16,0.87,0.91,0.9,1.08,0.93,0.91,1.26,1.01,0.98,0.87,1.13,1.0
