,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.64,0.54,0.65,0.55,0.63,0.26,0.23,0.33,0.27,0.25,0.27,0.19,0.26,0.24,0.24
e_1,0.44,0.4,0.61,0.74,0.62,0.56,0.34,0.28,0.36,0.33,0.27,0.36,0.23,0.26,0.23,0.3
d_1,0.66,0.65,0.4,0.55,0.57,0.48,0.29,0.3,0.24,0.32,0.27,0.25,0.23,0.23,0.18,0.25
c_1,0.62,0.47,0.69,0.39,0.68,0.59,0.34,0.29,0.32,0.19,0.27,0.27,0.22,0.24,0.22,0.25
b_1,0.72,0.61,0.59,0.39,0.35,0.66,0.36,0.36,0.32,0.27,0.35,0.28,0.25,0.25,0.24,0.25
a_1,0.6,0.65,0.68,0.58,0.38,0.29,0.33,0.29,0.35,0.3,0.32,0.29,0.26,0.39,0.27,0.28
h_1,0.64,0.56,0.57,0.55,0.5,0.51,0.23,0.24,0.31,0.27,0.28,0.23,0.25,0.24,0.23,0.25
c_0,0.66,0.6,0.41,0.69,0.52,0.53,0.32,0.22,0.28,0.34,0.3,0.25,0.23,0.27,0.22,0.24
g_1,0.58,0.53,0.64,0.69,0.49,0.48,0.25,0.24,0.21,0.24,0.25,0.26,0.17,0.27,0.21,0.26
d_0,0.54,0.39,0.68,0.66,0.62,0.56,0.33,0.24,0.35,0.22,0.25,0.27,0.24,0.25,0.22,0.27
b_0,0.56,0.57,0.51,0.7,0.61,0.49,0.29,0.17,0.29,0.26,0.2,0.24,0.21,0.32,0.22,0.23
f_0,0.76,0.52,0.57,0.55,0.49,0.49,0.33,0.25,0.24,0.24,0.25,0.2,0.21,0.29,0.16,0.28
h_0,0.61,0.57,0.58,0.57,0.52,0.47,0.33,0.24,0.36,0.26,0.24,0.26,0.24,0.24,0.23,0.23
a_0,0.61,0.57,0.55,0.65,0.59,0.52,0.35,0.23,0.26,0.26,0.16,0.23,0.24,0.19,0.2,0.26
g_0,0.54,0.55,0.61,0.57,0.58,0.47,0.25,0.25,0.36,0.25,0.25,0.3,0.19,0.26,0.23,0.25
e_0,0.72,0.68,0.53,0.57,0.56,0.51,0.31,0.24,0.25,0.23,0.25,0.16,0.24,0.27,0.19,0.17
