,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.53,1.09,0.98,0.87,0.93,0.79,1.27,1.75,1.06,1.01,1.36,1.14,1.29,1.11,1.1,1.08
f_1,0.95,1.54,1.48,0.96,0.84,0.76,1.09,1.05,1.1,1.3,1.06,0.91,1.22,0.97,1.14,0.79
e_1,1.0,0.98,1.56,1.18,1.0,0.85,1.18,1.13,1.09,1.77,1.2,1.23,1.36,1.04,1.25,0.99
c_1,1.15,1.02,0.95,1.61,1.53,0.8,1.0,1.0,1.02,1.04,0.84,1.04,1.29,0.93,1.14,1.05
b_1,1.14,1.04,0.98,0.8,1.65,1.51,1.28,1.26,1.11,1.15,1.2,1.28,1.32,0.98,1.36,1.05
a_1,1.22,1.25,1.08,1.16,0.85,1.77,1.35,1.25,1.29,1.29,1.37,1.19,1.43,0.97,1.48,1.02
h_1,1.31,1.52,1.26,1.36,0.93,0.94,1.85,1.4,1.68,1.42,1.29,1.41,1.41,1.22,1.62,1.24
c_0,1.25,1.45,1.4,1.11,1.02,1.1,1.63,1.82,1.53,1.6,2.37,1.36,1.72,1.74,1.63,1.47
g_1,1.67,1.26,1.16,1.3,1.13,0.93,1.31,1.47,1.93,1.23,1.49,1.76,1.5,1.33,1.33,1.58
d_0,1.2,1.3,1.16,1.8,1.38,1.05,1.42,1.3,1.36,1.8,1.48,1.36,1.54,1.22,1.47,1.26
b_0,1.32,1.44,1.36,1.56,1.02,0.95,1.65,1.35,1.46,1.46,1.91,1.55,1.76,2.2,1.65,1.57
f_0,1.5,1.28,1.17,1.39,1.3,1.15,1.64,1.63,1.46,1.48,1.47,1.91,1.7,1.49,1.53,2.25
h_0,1.48,1.67,1.39,1.27,1.28,0.99,1.51,1.49,1.56,1.56,1.42,1.48,1.55,1.38,2.01,1.26
a_0,1.45,1.61,1.41,1.43,1.19,0.93,1.8,1.6,1.56,1.64,1.28,1.54,1.93,1.96,1.79,1.51
g_0,1.9,1.39,1.27,1.4,1.16,0.97,1.56,1.74,1.52,1.48,1.53,2.0,1.59,1.39,1.62,1.59
e_0,1.5,1.69,1.19,1.38,1.24,1.27,1.7,1.66,1.49,1.69,1.55,1.25,1.92,1.34,1.55,1.87
