,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,1.22,0.87,1.09,1.02,1.08,1.28,0.88,0.99,1.05,1.17,1.05,0.99,1.12,1.23
f_1,1.23,1.0,1.0,0.98,0.96,0.81,0.79,1.07,0.89,0.9,0.95,0.85,0.85,1.02,0.86,1.02
c_1,0.81,1.0,1.0,1.22,1.33,0.93,1.01,0.72,0.86,0.8,0.96,0.89,0.99,0.87,1.05,0.93
d_1,1.14,1.02,0.82,1.0,0.93,1.01,1.04,1.01,1.3,1.15,0.88,1.02,1.0,1.01,0.95,0.82
b_1,0.93,1.04,0.77,1.06,1.0,1.56,1.05,1.02,1.05,1.15,1.01,1.07,1.06,0.98,1.0,0.93
a_1,0.97,1.23,1.05,0.99,0.66,1.0,1.11,1.04,1.19,1.3,1.05,1.02,1.24,1.17,1.12,1.17
h_1,0.93,1.23,0.98,0.99,0.93,0.85,1.0,0.88,0.95,0.99,1.13,1.03,0.92,0.92,0.95,1.12
d_0,0.77,0.93,1.41,1.01,1.01,0.95,1.16,1.0,0.84,0.97,1.16,0.97,1.05,0.92,1.1,1.18
c_0,1.11,1.09,1.09,0.77,0.93,0.86,0.99,1.14,1.0,1.28,1.1,1.07,1.08,1.06,0.93,0.98
b_0,1.01,1.07,1.32,0.86,0.93,0.74,1.03,1.03,0.8,1.0,1.07,0.93,1.02,1.46,0.98,1.13
g_1,0.98,1.02,1.03,1.13,0.99,0.89,0.94,0.88,0.9,0.95,1.0,1.11,0.8,0.93,0.88,1.02
f_0,0.81,1.16,1.12,1.02,0.97,0.94,1.03,0.99,0.95,1.02,0.94,1.0,1.06,0.95,1.44,0.8
h_0,0.97,1.18,0.99,1.01,0.93,0.8,1.1,0.93,0.91,1.03,1.22,0.94,1.0,1.03,0.9,1.13
a_0,0.99,1.01,1.15,0.97,0.97,0.85,1.14,1.11,0.9,0.67,1.08,1.04,0.98,1.0,1.02,1.09
e_0,0.89,1.14,0.95,1.1,0.95,0.95,1.02,0.93,1.07,1.03,1.16,0.7,1.16,1.05,1.0,1.02
g_0,0.9,0.96,1.05,1.21,1.04,0.87,0.93,0.85,0.97,0.87,0.98,1.25,0.88,0.95,0.94,1.0
