,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,1.33,1.15,2.07,3.37,20.87,37.7,35.63,36.98,39.23,52.5,95.04,79.83,92.24,131.66
f_1,1.24,1.0,1.06,1.23,1.58,2.78,17.5,26.86,29.53,33.18,33.51,42.83,66.9,88.2,103.1,120.52
c_1,0.75,0.94,1.0,1.23,2.25,2.35,18.59,15.95,17.94,29.25,23.43,40.01,72.7,81.22,90.7,102.62
d_1,0.87,0.81,0.81,1.0,1.58,2.15,18.04,29.91,33.87,23.42,32.56,47.28,63.83,82.77,89.19,73.87
b_1,0.48,0.63,0.45,0.63,1.0,2.89,12.13,14.52,18.5,19.1,14.59,22.94,40.88,40.25,59.85,70.91
a_1,0.3,0.36,0.43,0.47,0.35,1.0,6.79,9.72,10.81,10.9,13.2,15.58,31.68,25.2,30.63,41.63
h_1,0.05,0.06,0.05,0.06,0.08,0.15,1.0,1.2,1.49,1.57,1.54,1.98,2.92,3.68,5.03,6.08
d_0,0.02,0.04,0.07,0.03,0.06,0.11,0.84,1.0,0.94,1.16,1.46,1.81,2.97,3.29,3.59,4.63
c_0,0.03,0.04,0.05,0.03,0.05,0.09,0.64,1.02,1.0,1.12,1.7,1.5,2.56,2.61,3.16,4.56
g_1,0.03,0.03,0.04,0.04,0.05,0.09,0.63,0.83,0.87,1.0,1.09,1.98,1.91,2.61,3.14,3.87
b_0,0.03,0.03,0.04,0.03,0.07,0.08,0.66,0.74,0.6,0.94,1.0,1.29,2.19,3.11,2.53,3.87
f_0,0.02,0.02,0.03,0.02,0.05,0.07,0.51,0.55,0.63,0.53,0.72,1.0,1.78,1.83,2.62,2.24
h_0,0.01,0.02,0.01,0.02,0.02,0.03,0.35,0.33,0.38,0.54,0.42,0.58,1.0,0.99,1.33,1.53
a_0,0.01,0.01,0.01,0.01,0.02,,0.27,0.32,0.4,0.37,0.3,0.59,1.07,1.0,1.04,1.52
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.29,0.32,0.34,0.38,0.37,0.8,1.05,1.0,1.09
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.16,0.21,0.21,0.25,0.26,0.44,0.64,0.68,0.9,1.0
