,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.35,1.4,0.76,0.77,0.66,0.58,1.5,1.26,1.89,1.55,1.07,1.57,2.06,0.99,1.44,1.71
e_1,0.95,2.36,1.06,0.68,0.73,0.68,1.44,1.24,3.08,1.52,1.69,1.51,2.0,1.04,1.46,1.89
c_1,0.86,0.74,2.41,0.78,1.47,0.51,1.53,1.33,1.61,0.9,1.54,1.1,2.12,1.45,1.32,1.92
d_1,0.94,0.79,0.64,2.46,0.69,0.55,1.67,1.36,1.32,3.36,1.79,1.87,2.24,1.62,1.37,2.47
b_1,0.87,0.82,0.85,0.75,2.6,1.24,1.69,1.16,1.4,1.33,1.56,0.9,1.98,1.34,1.2,1.86
a_1,0.93,0.92,1.0,0.83,0.62,3.18,1.6,1.63,1.98,1.31,1.79,1.71,2.07,1.55,0.89,1.58
h_1,1.23,0.92,0.83,0.93,0.76,0.63,3.28,1.99,1.74,1.71,1.72,1.78,1.77,1.41,1.42,2.55
g_1,0.84,0.8,0.9,1.46,0.74,0.66,1.42,3.55,1.45,2.03,2.84,2.0,2.11,1.75,1.62,1.54
d_0,0.9,0.91,1.65,0.55,0.89,0.71,1.66,1.63,2.79,1.25,1.96,1.77,2.38,1.37,1.55,1.9
c_0,1.17,0.95,0.79,0.99,0.56,0.67,1.56,1.59,1.95,3.19,1.7,3.6,2.62,1.9,1.99,2.53
f_0,0.71,0.81,1.09,1.02,0.94,0.72,1.69,1.5,1.99,1.8,3.26,2.1,2.54,3.31,1.5,2.23
b_0,1.02,0.94,1.05,1.12,0.46,0.54,1.69,1.75,2.11,1.97,1.69,3.25,3.01,1.48,3.43,1.94
h_0,1.23,0.86,0.93,1.01,0.87,0.57,1.4,2.08,1.97,1.8,1.8,1.78,2.04,1.66,1.89,2.79
e_0,0.99,0.75,0.87,1.18,0.93,0.72,1.7,1.77,1.75,1.99,2.22,2.28,2.91,3.5,1.77,2.24
a_0,1.03,0.77,0.94,1.15,0.82,0.5,1.91,1.78,2.19,1.97,1.8,1.91,2.99,1.72,3.4,2.29
g_0,0.81,0.8,0.86,1.36,0.88,0.66,1.59,1.21,1.82,2.07,2.63,2.01,2.51,2.05,1.86,1.4
