,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.42,2.5,4.32,3.35,3.4,3.51,1.86,1.86,1.84,1.86,1.48,1.5,1.31,1.41,1.7,
f_1,4.31,0.4,3.06,3.45,3.6,4.77,1.53,1.38,1.56,1.61,1.68,,0.96,2.4,1.97,1.82
d_1,3.14,4.21,0.4,5.16,2.99,2.95,2.07,,1.84,1.25,1.85,1.71,1.44,1.79,0.8,1.43
c_1,3.61,3.88,2.82,0.39,4.71,4.12,2.2,1.0,,1.9,1.7,1.46,1.37,,1.53,1.52
b_1,3.49,4.0,4.37,2.46,0.37,3.63,1.97,1.84,1.63,1.97,,1.33,1.79,1.47,1.12,1.29
a_1,4.61,3.25,4.92,3.09,2.72,0.31,1.62,1.28,1.39,,,1.63,1.62,,1.24,
h_1,2.04,2.02,1.49,1.65,1.73,1.84,0.27,0.85,0.85,1.07,0.79,0.68,,0.71,0.82,0.88
d_0,1.03,1.88,,1.71,1.6,2.38,0.78,0.29,0.68,0.77,0.79,0.68,0.66,0.66,0.51,0.91
c_0,1.64,1.42,1.11,,1.63,1.71,0.85,0.93,0.3,0.88,0.91,0.7,0.41,0.82,0.58,0.65
g_1,1.99,2.13,2.68,1.71,1.88,,0.73,0.79,0.71,0.24,0.81,1.01,0.55,0.72,,0.96
b_0,2.07,1.63,1.38,2.12,,,0.9,0.62,0.38,1.09,0.27,0.78,0.99,1.08,0.64,0.65
f_0,1.89,,1.32,1.88,1.76,1.32,1.0,0.73,0.82,0.59,0.66,0.25,0.51,0.73,0.45,0.77
h_0,1.31,1.43,1.3,0.97,1.13,1.33,,0.55,0.86,0.94,0.37,0.69,,0.56,0.55,0.48
a_0,1.84,1.36,1.7,,1.62,,0.95,0.97,0.74,1.08,0.4,0.73,0.58,0.22,0.56,0.67
g_0,1.08,1.15,1.49,1.17,1.46,1.24,0.54,0.84,0.67,,0.64,0.71,0.36,0.59,,
e_0,,1.29,2.34,1.52,1.69,,0.78,0.74,0.76,0.72,0.65,0.44,0.76,0.58,,0.21
